,travel time,distance,hour of day,1st ranked,2nd ranked,3rd ranked,4d ranked,5th ranked,6th ranked,1st dist,2nd dist,3rd dist,4rd dist,5th dist,6th dist
5520,386,5189.921,13,primary,residential,service,nan,nan,nan,0.7265027733562803,0.18165536623775197,0.09184186040596763,,,
5521,589,4643.448,16,primary,residential,service,nan,nan,nan,0.812002632526519,0.12601756281108348,0.061979804662397414,,,
5522,474,4738.501,23,primary,residential,service,nan,nan,nan,0.7957140876407961,0.14354940518108994,0.06073650717811391,,,
5523,457,5375.289000000001,0,primary,residential,service,nan,nan,nan,0.7014491685935398,0.20987615735637652,0.08867467405008361,,,
5524,456,4916.749000000001,1,primary,residential,service,nan,nan,nan,0.7668668870426373,0.13039449441083933,0.1027386185465233,,,
5525,853,6083.13,9,residential,primary,service,nan,nan,nan,0.7888351884638338,0.1663109287488513,0.044853882787315086,,,
5526,797,5285.127,11,primary,residential,service,nan,nan,nan,0.7134155905808885,0.22265746877984197,0.0639269406392694,,,
5527,2368,5885.218000000001,13,primary,service,residential,nan,nan,nan,0.6406715944931861,0.270162634587198,0.08916577091961587,,,
5528,1178,4987.825,1,primary,service,residential,nan,nan,nan,0.7559391117370798,0.13977615493727227,0.10428473332564796,,,
5529,453,4569.167000000001,9,primary,residential,service,nan,nan,nan,0.825203368578999,0.09608272142383935,0.07871390999716138,,,
5530,544,4752.146000000001,10,primary,residential,service,nan,nan,nan,0.793429326455879,0.10945665389910157,0.09711401964501933,,,
5531,731,4773.193,13,primary,residential,service,nan,nan,nan,0.7899307654226426,0.10897401383099321,0.10109522074636411,,,
5532,513,4483.321000000001,18,primary,residential,service,nan,nan,nan,0.8410042466287825,0.0871331765001881,0.0718625768710293,,,
5533,551,4776.47,20,primary,residential,service,nan,nan,nan,0.7893888164271942,0.13422401899310576,0.07638716457970006,,,
5534,406,4560.015,5,primary,residential,service,nan,nan,nan,0.8268595607689887,0.10873385284916823,0.06440658638184303,,,
5535,1281,5403.287,9,primary,service,residential,nan,nan,nan,0.6978144969904431,0.16594065797356314,0.13624484503599385,,,
5536,727,4557.769999999999,11,residential,primary,service,nan,nan,nan,0.6724029514433596,0.22197061282162114,0.10562643573501956,,,
5537,833,4741.814,13,primary,residential,service,nan,nan,nan,0.7951581399017338,0.13813996078294086,0.0667018993153253,,,
5538,488,5263.498,14,primary,residential,service,nan,nan,nan,0.7163471896446053,0.21433369975632177,0.06931911059907309,,,
5539,537,4814.395000000001,16,primary,service,residential,nan,nan,nan,0.7831704710560723,0.10878812394911508,0.1080414049948124,,,
5540,451,4983.314,19,primary,residential,service,nan,nan,nan,0.7566234036225692,0.1477269945261326,0.09564960185129813,,,
5541,541,4989.909,21,primary,residential,service,nan,nan,nan,0.7556233991441528,0.15574352157524313,0.08863307928060413,,,
5542,454,5062.865,22,primary,residential,service,nan,nan,nan,0.7447348487467077,0.1422637182701889,0.11300143298310342,,,
5543,492,4888.261,8,primary,residential,service,nan,nan,nan,0.7713360640931407,0.13115441258148858,0.0975095233253707,,,
5544,465,4702.604,18,primary,residential,service,nan,nan,nan,0.801788115690796,0.11060978130414553,0.08760210300505848,,,
5545,396,4680.6849999999995,20,primary,residential,service,nan,nan,nan,0.8055427784608451,0.1268842060510374,0.06757301548811766,,,
5546,377,4761.405000000001,21,primary,residential,service,nan,nan,nan,0.7918864284806689,0.10924380513734915,0.09886976638198179,,,
5547,386,4671.936000000001,23,primary,residential,service,nan,nan,nan,0.8070512952232222,0.12524914724859243,0.0676995575281853,,,
5548,399,4888.261,2,primary,residential,service,nan,nan,nan,0.7713360640931407,0.13115441258148858,0.0975095233253707,,,
5549,455,4779.165000000001,7,primary,service,residential,nan,nan,nan,0.7889436753072973,0.11477088570911444,0.09628543898358811,,,
5550,536,5210.251,17,primary,residential,service,nan,nan,nan,0.7236680152261379,0.16531295709170246,0.11101902768215963,,,
5551,829,4785.914000000001,4,primary,residential,service,nan,nan,nan,0.787831122748967,0.1339591559731328,0.0782097212779001,,,
5552,503,4756.999000000001,10,primary,residential,service,nan,nan,nan,0.7926198849316554,0.10934498830039693,0.0980351267679476,,,
5553,492,4916.749000000001,15,primary,residential,service,nan,nan,nan,0.7668668870426373,0.13039449441083933,0.1027386185465233,,,
5554,409,4868.518,17,primary,residential,service,nan,nan,nan,0.7744640155381988,0.1409192694778986,0.08461671498390272,,,
5555,354,4661.402000000001,18,primary,residential,service,nan,nan,nan,0.8088750980928054,0.11158745802228598,0.07953744388490844,,,
5556,462,5011.802,21,primary,residential,service,nan,nan,nan,0.7523226176931971,0.14688728724718178,0.10079009505962128,,,
5557,458,4661.402000000001,1,primary,residential,service,nan,nan,nan,0.8088750980928054,0.11158745802228598,0.07953744388490844,,,
5558,476,4895.624000000001,16,primary,residential,service,nan,nan,nan,0.7701759775669046,0.19124834750381153,0.03857567492928378,,,
5559,408,4884.303000000001,4,primary,service,residential,nan,nan,nan,0.7719611170723847,0.1294983132700817,0.09854056965753351,,,
5560,583,4805.671,8,primary,residential,service,nan,nan,nan,0.7845922036693731,0.11353253270979224,0.10187526362083463,,,
5561,862,4689.889999999999,11,primary,residential,service,nan,nan,nan,0.8039617133877341,0.11090963753947322,0.08512864907279277,,,
5562,593,4689.889999999999,15,primary,residential,service,nan,nan,nan,0.8039617133877341,0.11090963753947322,0.08512864907279277,,,
5563,486,4661.402000000001,21,primary,residential,service,nan,nan,nan,0.8088750980928054,0.11158745802228598,0.07953744388490844,,,
5564,454,4932.6370000000015,0,primary,service,residential,nan,nan,nan,0.7643968124960339,0.13802819870993951,0.09757498879402636,,,
5565,339,4900.011,4,primary,residential,service,nan,nan,nan,0.7694864358467767,0.1502384382402407,0.08027512591298264,,,
5566,576,4756.999000000001,9,primary,residential,service,nan,nan,nan,0.7926198849316554,0.10934498830039693,0.0980351267679476,,,
5567,548,5051.595,12,primary,residential,service,nan,nan,nan,0.7463963362066832,0.13581215437896343,0.1177915094143533,,,
5568,614,4838.726,14,primary,residential,service,nan,nan,nan,0.7792323847227556,0.13249706637656275,0.0882705489006817,,,
5569,595,5104.643000000001,16,primary,residential,service,nan,nan,nan,0.7478405443828294,0.195779411018557,0.05638004459861344,,,
5570,370,5216.6320000000005,0,primary,residential,service,nan,nan,nan,0.7227828223267426,0.14000086645943205,0.1372163112138253,,,
5571,417,4661.402000000001,2,primary,residential,service,nan,nan,nan,0.8088750980928054,0.11158745802228598,0.07953744388490844,,,
5572,396,4613.030000000001,4,primary,residential,service,nan,nan,nan,0.8173569215894975,0.10227160889914003,0.08037146951136237,,,
5573,526,4764.8600000000015,10,primary,residential,service,nan,nan,nan,0.7913122316290508,0.10916459245392306,0.09952317591702589,,,
5574,996,5105.301,11,primary,residential,service,nan,nan,nan,0.7385445050154731,0.20508271696419073,0.056372778020336106,,,
5575,582,4541.648000000002,15,primary,residential,service,nan,nan,nan,0.8302034856069864,0.10512945961465965,0.06466705477835355,,,
5576,617,4550.172000000001,19,primary,residential,service,nan,nan,nan,0.8389702631021418,0.09648382522682653,0.06454591167103131,,,
5577,508,4871.523000000001,21,primary,residential,service,nan,nan,nan,0.7739862872452823,0.1511170120719947,0.07489670068272282,,,
5578,445,4643.448,22,primary,residential,service,nan,nan,nan,0.812002632526519,0.12601756281108348,0.061979804662397414,,,
5579,420,4776.47,1,primary,residential,service,nan,nan,nan,0.7893888164271942,0.13422401899310576,0.07638716457970006,,,
5580,523,4983.314,15,primary,residential,service,nan,nan,nan,0.7566234036225692,0.1477269945261326,0.09564960185129813,,,
5581,457,4888.261,17,primary,residential,service,nan,nan,nan,0.7713360640931407,0.13115441258148858,0.0975095233253707,,,
5582,505,4993.075999999999,21,primary,residential,service,nan,nan,nan,0.755144123582337,0.1413589538793321,0.10349692253833111,,,
5583,1742,4618.273,23,primary,residential,service,nan,nan,nan,0.8164289984589478,0.12125333430916709,0.06231766723188516,,,
5584,474,4528.380000000001,2,primary,residential,service,nan,nan,nan,0.8326359536964653,0.10250751924529299,0.06485652705824156,,,
5585,704,4756.362,6,primary,residential,service,nan,nan,nan,0.7927260372528416,0.12333501949599295,0.0839389432511655,,,
5586,474,4727.364,18,primary,residential,service,nan,nan,nan,0.7975886773263071,0.1100304524889558,0.09238087018473722,,,
5587,541,4177.3290000000015,19,primary,residential,unclassified,primary_link,service,nan,0.4522219820368468,0.20419507297605713,0.13854067994165647,0.12791570881776365,0.0771265562276756,
5588,447,4661.402000000001,6,primary,residential,service,nan,nan,nan,0.8088750980928054,0.11158745802228598,0.07953744388490844,,,
5589,453,4983.314,11,primary,residential,service,nan,nan,nan,0.7566234036225692,0.1477269945261326,0.09564960185129813,,,
5590,444,4760.293,14,primary,residential,service,nan,nan,nan,0.8019378218945767,0.13760371472932445,0.060458463376098906,,,
5591,807,9030.483000000004,22,tertiary,residential,nan,nan,nan,nan,0.5221582278600156,0.47784177213998397,,,,
5592,502,5385.829000000001,8,primary,residential,service,nan,nan,nan,0.7000764413426419,0.21142241983546076,0.08850113882189722,,,
5593,573,4990.8,11,primary,residential,service,nan,nan,nan,0.7554884988378616,0.13956860623547324,0.10494289492666506,,,
5594,413,4839.841000000001,13,primary,residential,service,nan,nan,nan,0.7790528655796749,0.11273097607958606,0.10821615834073886,,,
5595,376,5086.164000000002,1,primary,residential,service,nan,nan,nan,0.7413233234319615,0.19649071480982522,0.06218596175821304,,,
5596,546,4933.779,9,primary,residential,service,nan,nan,nan,0.7642198809472415,0.14921016932456846,0.08656994972819008,,,
5597,460,4713.294000000001,6,primary,residential,service,nan,nan,nan,0.7999696178511249,0.10211584509686854,0.0979145370520065,,,
5598,537,4530.2880000000005,9,primary,residential,service,nan,nan,nan,0.8426526083992893,0.08622983792641878,0.07111755367429178,,,
5599,800,4847.985000000001,3,primary,residential,service,nan,nan,nan,0.7777441555615374,0.13224401478139886,0.0900118296570637,,,
5600,661,4892.464000000001,11,primary,service,residential,nan,nan,nan,0.7706734275408055,0.12300918310282914,0.1063173893563652,,,
5601,441,4807.936000000001,20,primary,residential,service,nan,nan,nan,0.784222585325595,0.13989017324689842,0.07588724142750651,,,
