,travel time,distance,hour of day,1st ranked,2nd ranked,3rd ranked,4d ranked,5th ranked,6th ranked,1st dist,2nd dist,3rd dist,4rd dist,5th dist,6th dist
3934,972,14170.923,7,primary,unclassified,tertiary,primary_link,service,nan,0.9158346989818517,0.03922715549297671,0.0378148974488112,0.004057463300026399,0.0030657847763339054,
3935,1059,15159.113000000003,11,secondary,tertiary,primary,unclassified,secondary_link,residential,0.7575420144964945,0.11374009811787794,0.04988398727550879,0.03667002152434644,0.026407481757013088,0.01575639682875904
3936,480,5645.369,23,tertiary,primary,residential,unclassified,nan,nan,0.8089391499475056,0.09973201043191332,0.05497833711135624,0.036350502509224815,,
3937,366,3045.9610000000002,8,primary,residential,primary_link,service,unclassified,nan,0.5250733676498155,0.13012116701428547,0.1262977431424762,0.11747819489481316,0.10102952729860953,
3938,639,6376.799,15,tertiary,residential,unclassified,primary,service,nan,0.5277384468288869,0.2366899129171235,0.09775014078380079,0.0882925743778344,0.04952892509235432,
3939,414,3140.9560000000006,20,tertiary,unclassified,primary,residential,nan,nan,0.4336074749216479,0.23918291119009624,0.1792524314253367,0.14795718246291892,,
3940,1890,3007.725,2,residential,unclassified,primary,nan,nan,nan,0.8695179911727303,0.0682283120963519,0.062253696730917886,,,
3941,974,12732.419,6,primary,tertiary,unclassified,service,nan,nan,0.802061807736613,0.15243591967873507,0.02735316831781926,0.018149104266832562,,
3942,1463,5663.632,11,unclassified,primary,residential,service,primary_link,nan,0.36303930057602607,0.3419916760128483,0.1306924602445922,0.09635230537577302,0.06792425779076042,
3943,576,6642.894000000001,10,tertiary,residential,unclassified,primary,nan,nan,0.6514705789374329,0.14890362543794916,0.11486996480750708,0.08475583081711072,,
3944,525,6507.479,12,primary,tertiary,primary_link,residential,unclassified,nan,0.4715998315169362,0.3398812351142432,0.10928932694212307,0.04769481392102841,0.03153479250566924,
3945,1622,21910.716,16,primary,residential,unclassified,nan,nan,nan,0.9719470600595618,0.01868711182236126,0.009365828118077017,,,
