move,vehicle,hour,mean_speed
hs_sphs,110JG,23,16.6954023
hs_sphs,110JG,15,12.86324786
hs_sphs,110JG,17,13.15118397
hs_sphs,110JG,22,16.64141414
hs_sphs,110JG,0,17.18676123
hs_sphs,110JG,16,15.29350105
hs_sphs,110JG,18,19.94883041
hs_sphs,110JG,2,16.75120773
hs_sphs,110JG,6,17.4811219
hs_sphs,110JG,21,19.36838624
hs_sphs,110JG,16,15.80729167
hs_sphs,110JG,18,16.1656746
hs_sphs,110JG,10,17.50308642
hs_sphs,110JG,14,15.99271403
hs_sphs,110JG,16,15.21857923
hs_sphs,110JG,14,17.49433107
hs_sphs,110JG,16,16.9858156
hs_sphs,110JG,18,21.4619883
hs_sphs,110JG,22,17.61904762
hs_sphs,110JG,10,14.39670139
hs_sphs,110JG,12,17.25
hs_sphs,110JG,20,16.93813131
hs_sphs,110JG,2,20.0203252
hs_sphs,110JG,23,17.40530303
hs_sphs,110JG,4,16.20010787
hs_sphs,110JG,20,17.63117284
hs_sphs,110JG,16,16.3606403
hs_sphs,110JG,18,15.34722222
hs_sphs,110JG,18,18.5479798
hs_sphs,110JG,22,16.63647343
hs_sphs,110JG,17,15.71428571
hs_sphs,110JG,22,16.18173258
hs_sphs,110JG,0,17.81481481
hs_sphs,110JG,15,15.84656085
hs_sphs,110JG,17,15.04409171
hs_sphs,110JG,13,15.77601411
hs_sphs,110JG,16,12.67412935
hs_sphs,110JG,14,17.03159041
hs_sphs,110JG,18,16.78486998
hs_sphs,110JG,9,16.52281746
hs_sphs,110JG,11,15.43518519
hs_sphs,110JG,14,15.65860215
hs_sphs,110JG,21,19.42063492
hs_sphs,110JG,18,15.32163743
hs_sphs,110JG,23,19.35386473
hs_sphs,110JG,9,14.61738924
hs_sphs,110JG,20,18.57565012
hs_sphs,110JG,1,18.04597701
hs_sphs,110JG,17,13.66666667
hs_sphs,110JG,23,19.70138889
hs_sphs,110JG,6,18.10185185
hs_sphs,110JG,20,17.23710317
