,vehicle,No added edges
1006,111IZ,64
1007,125KK,20
1008,125KK,61
1009,125KK,16
1010,125KK,40
1011,125KK,10
1012,125KK,60
1013,125KK,90
1014,125KK,41
1015,125KK,51
1016,125KK,90
1017,125KK,84
1018,125KK,52
1019,125KK,40
1020,125KK,77
1021,125KK,72
1022,125KK,73
1023,125KK,37
1024,125KK,80
1025,125KK,48
1026,125KK,96
1027,125KK,42
1028,125KK,96
1029,125KK,69
1030,125KK,0
1031,125KK,42
1032,125KK,118
1033,125KK,107
1034,125KK,109
1035,125KK,12
1036,125KK,40
1037,125KK,41
1038,125KK,132
1039,125KK,94
1040,125KK,52
1041,125KK,78
1042,125KK,24
1043,125KK,20
1044,125KK,29
1045,125KK,64
1046,125KK,16
1047,125KK,22
1048,125KK,63
1049,125KK,20
1050,125KK,106
1051,125KK,56
1052,125KK,19
1053,125KK,51
1054,125KK,116
1055,125KK,46
1056,125KK,101
1057,125KK,17
1058,125KK,51
1059,125KK,46
1060,125KK,24
1061,125KK,43
1062,125KK,41
1063,125KK,23
1064,125KK,49
1065,125KK,13
1066,125KK,34
1067,125KK,148
1068,125KK,36
1069,125KK,24
1070,125KK,89
1071,125KK,70
1072,125KK,37
1073,125KK,26
1074,125KK,140
1075,125KK,54
1076,125KK,38
1077,125KK,52
1078,125KK,66
1079,125KK,104
1080,125KK,102
1081,125KK,17
1082,125KK,66
1083,125KK,61
1084,125KK,36
1085,125KK,79
1086,125KK,46
1087,125KK,34
1088,125KK,51
1089,125KK,11
1090,125KK,81
1091,125KK,57
1092,125KK,23
1093,125KK,50
1094,125KK,55
1095,125KK,66
1096,125KK,88
1097,125KK,86
1098,125KK,21
1099,125KK,10
1100,125KK,65
1101,125KK,11
1102,125KK,17
1103,125KK,14
1104,125KK,58
1105,125KK,62
1106,125KK,66
1107,125KK,24
1108,125KK,91
1109,125KK,23
1110,125KK,26
1111,125KK,18
1112,125KK,55
1113,125KK,111
1114,125KK,11
1115,125KK,50
1116,125KK,80
1117,125KK,35
1118,125KK,40
1119,125KK,62
1120,125KK,83
1121,125KK,135
1122,125KK,53
1123,125KK,123
1124,125KK,92
1125,125KK,24
1126,125KK,32
1127,125KK,56
1128,125KK,39
1129,125KK,29
1130,125KK,39
1131,125KK,79
1132,125KK,23
1133,125KK,65
1134,125KK,51
1135,125KK,60
1136,125KK,82
1137,125KK,26
1138,125KK,42
1139,125KK,42
1140,125KK,79
1141,125KK,105
1142,125KK,43
1143,125KK,36
1144,125KK,67
1145,125KK,55
1146,125KK,42
1147,125KK,56
1148,125KK,49
1149,125KK,41
1150,125KK,80
1151,125KK,17
1152,125KK,26
1153,125KK,56
1154,125KK,57
1155,125KK,84
1156,125KK,45
1157,125KK,8
1158,125KK,43
1159,125KK,18
1160,125KK,36
1161,125KK,77
1162,125KK,70
1163,125KK,41
1164,125KK,56
1165,125KK,53
1166,125KK,48
1167,125KK,61
1168,125KK,97
1169,125KK,49
1170,125KK,19
1171,125KK,51
1172,125KK,13
1173,125KK,8
1174,125KK,52
1175,125KK,53
1176,125KK,142
1177,125KK,53
1178,125KK,27
1179,125KK,70
1180,125KK,60
1181,125KK,31
1182,125KK,60
1183,125KK,85
1184,125KK,13
1185,125KK,81
1186,125KK,101
1187,125KK,62
1188,125KK,45
1189,125KK,54
1190,125KK,59
1191,125KK,65
1192,125KK,50
1193,125KK,49
1194,125KK,81
1195,125KK,12
1196,125KK,35
1197,125KK,45
1198,125KK,116
1199,125KK,53
1200,125KK,54
1201,125KK,49
1202,125KK,17
1203,125KK,46
1204,125KK,49
1205,125KK,51
1206,125KK,66
1207,125KK,22
1208,125KK,59
1209,125KK,61
1210,125KK,53
1211,125KK,56
1212,125KK,37
1213,125KK,46
1214,125KK,38
1215,125KK,54
1216,125KK,9
1217,125KK,43
1218,125KK,39
1219,125KK,73
1220,125KK,45
1221,125KK,89
1222,125KK,22
1223,125KK,27
1224,125KK,48
1225,125KK,15
1226,125KK,10
1227,125KK,54
1228,125KK,145
1229,125KK,77
1230,125KK,71
1231,125KK,48
1232,125KK,82
1233,125KK,39
1234,125KK,55
1235,125KK,50
1236,125KK,23
1237,125KK,111
1238,125KK,49
1239,125KK,20
1240,125KK,64
1241,125KK,57
1242,125KK,17
1243,125KK,105
1244,125KK,36
1245,125KK,40
1246,125KK,97
1247,125KK,38
1248,125KK,0
1249,125KK,65
1250,125KK,85
1251,125KK,37
1252,125KK,33
1253,125KK,79
1254,125KK,10
1255,125KK,93
1256,125KK,8
1257,125KK,77
1258,125KK,104
1259,125KK,94
1260,125KK,7
1261,125KK,81
1262,125KK,73
1263,125KK,45
1264,125KK,22
1265,125KK,58
1266,125KK,28
1267,125KK,79
1268,125KK,18
1269,125KK,42
1270,125KK,17
1271,125KK,138
1272,125KK,55
1273,125KK,31
1274,125KK,54
1275,125KK,56
1276,125KK,34
1277,125KK,53
1278,125KK,55
1279,125KK,37
1280,125KK,31
1281,125KK,64
1282,125KK,48
1283,125KK,17
1284,125KK,135
1285,125KK,33
1286,125KK,69
1287,125KK,10
1288,125KK,34
1289,125KK,42
1290,125KK,51
1291,125KK,121
1292,125KK,43
1293,125KK,4
1294,125KK,86
1295,125KK,52
1296,125KK,53
1297,125KK,43
1298,125KK,47
1299,125KK,15
1300,125KK,91
1301,125KK,35
1302,125KK,65
1303,125KK,52
1304,125KK,42
1305,125KK,63
1306,125KK,77
1307,125KK,34
1308,125KK,23
1309,125KK,110
1310,125KK,40
1311,125KK,33
1312,125KK,43
1313,125KK,16
1314,125KK,12
1315,125KK,20
1316,125KK,58
1317,125KK,45
1318,125KK,92
1319,125KK,49
1320,125KK,72
1321,125KK,37
1322,125KK,43
1323,125KK,84
1324,125KK,14
1325,125KK,18
1326,125KK,49
1327,125KK,52
1328,125KK,85
1329,125KK,40
1330,125KK,42
1331,125KK,59
1332,125KK,11
1333,125KK,9
1334,125KK,63
1335,125KK,25
1336,125KK,30
1337,125KK,81
1338,125KK,61
1339,125KK,58
1340,125KK,70
1341,125KK,47
1342,125KK,53
1343,125KK,13
1344,125KK,72
1345,125KK,52
1346,125KK,56
1347,125KK,58
1348,125KK,49
1349,125KK,60
1350,125KK,50
1351,125KK,54
1352,125KK,12
1353,125KK,51
1354,125KK,55
1355,125KK,61
1356,125KK,58
1357,125KK,62
1358,125KK,66
1359,125KK,54
1360,125KK,33
1361,125KK,92
1362,125KK,62
1363,125KK,50
1364,125KK,41
1365,125KK,84
1366,125KK,38
1367,125KK,66
1368,125KK,56
1369,125KK,24
1370,125KK,78
1371,125KK,93
1372,125KK,36
1373,125KK,79
1374,125KK,51
1375,125KK,27
