move,vehicle,hour,mean_speed
sp_sps,110JG,18,17.8015873
sp_sps,110JG,7,20.32407407
sp_sps,110JG,14,9.312386157
sp_sps,110JG,20,16.56494523
sp_sps,110JG,17,24.64444444
sp_sps,110JG,1,19.35465769
sp_sps,110JG,16,16.60746812
sp_sps,110JG,23,18.32972583
sp_sps,110JG,20,23.39225589
sp_sps,110JG,21,16.46953405
sp_sps,110JG,21,16.57756813
sp_sps,110JG,19,12.5
sp_sps,110JG,17,14.92521368
sp_sps,110JG,18,14.2609127
sp_sps,110JG,13,14.83630952
sp_sps,110JG,16,17.77777778
sp_sps,110JG,13,17.60721248
sp_sps,110JG,15,21.3034188
sp_sps,110JG,17,17.90123457
sp_sps,110JG,21,17.46141975
sp_sps,110JG,2,18.25892857
sp_sps,110JG,22,15.52083333
sp_sps,110JG,16,18.85233918
sp_sps,110JG,2,13.90946502
sp_sps,110JG,12,15.11737089
sp_sps,110JG,14,18.65539452
sp_sps,110JG,13,19.91702742
sp_sps,110JG,6,16.25
sp_sps,110JG,10,13.99246704
sp_sps,110JG,12,18.93817204
sp_sps,110JG,8,19.59742351
sp_sps,110JG,19,16.17063492
sp_sps,110JG,23,16.97390572
sp_sps,110JG,3,17.26072607
sp_sps,110JG,18,14.97354497
sp_sps,110JG,19,15.57807808
sp_sps,110JG,13,15.60564663
sp_sps,110JG,23,21.08262108
sp_sps,110JG,23,7.896825397
sp_sps,110JG,11,14.21626984
sp_sps,110JG,20,20.41666667
sp_sps,110JG,0,19.55687831
sp_sps,110JG,17,18.16840278
sp_sps,110JG,18,15.49790356
sp_sps,110JG,19,17.29254571
sp_sps,110JG,18,14.01909722
sp_sps,110JG,23,10.83333333
sp_sps,110JG,17,20.8908046
sp_sps,110JG,19,16.45454545
sp_sps,110JG,18,18.90277778
sp_sps,110JG,6,13.0952381
sp_sps,110JG,13,17.24691358
sp_sps,110JG,5,20.55555556
sp_sps,110JG,18,16.41171994
sp_sps,110JG,18,19.43518519
sp_sps,110JG,20,16.09241453
sp_sps,110JG,4,17.3467433
sp_sps,110JG,20,15.16782407
sp_sps,110JG,21,14.10394265
sp_sps,110JG,21,12.33974359
sp_sps,110JG,17,14.49820789
sp_sps,110JG,20,12.51960784
sp_sps,110JG,10,13.15079365
sp_sps,110JG,21,16.47156085
sp_sps,110JG,0,17.50841751
sp_sps,110JG,22,18.10185185
sp_sps,110JG,18,15.12054507
sp_sps,110JG,19,15.56100218
sp_sps,110JG,1,15.05952381
sp_sps,110JG,20,16.90972222
sp_sps,110JG,4,22.09795322
sp_sps,110JG,18,23.35185185
sp_sps,110JG,3,17.10069444
sp_sps,110JG,4,16.88786008
sp_sps,110JG,23,17.91666667
sp_sps,110JG,23,17.99272487
sp_sps,110JG,19,14.5464135
sp_sps,110JG,18,16.83028919
sp_sps,110JG,20,17.14285714
sp_sps,110JG,17,18.80236794
sp_sps,110JG,22,16.83760684
sp_sps,110JG,23,12.39393939
sp_sps,110JG,7,11.45238095
sp_sps,110JG,17,17.90343915
sp_sps,110JG,17,16.65185185
sp_sps,110JG,5,14.23728814
sp_sps,110JG,16,16.58730159
sp_sps,110JG,0,17.47076023
sp_sps,110JG,3,18.72519841
sp_sps,110JG,19,15.72222222
sp_sps,110JG,21,16.31578947
sp_sps,110JG,0,16.68859649
sp_sps,110JG,9,15.35011574
sp_sps,110JG,12,13.74521073
sp_sps,110JG,22,16.26984127
sp_sps,110JG,17,19.6780303
sp_sps,110JG,3,15.86111111
sp_sps,110JG,18,20.08680556
sp_sps,110JG,20,16.18357488
sp_sps,110JG,14,18.16666667
sp_sps,110JG,3,15.58760684
sp_sps,110JG,5,14.55662393
sp_sps,110JG,22,16.13636364
sp_sps,110JG,1,8.240740741
sp_sps,110JG,0,11.41236307
sp_sps,110JG,13,16.86578171
sp_sps,110JG,17,21.82074653
sp_sps,110JG,17,22.82299742
sp_sps,110JG,22,16.38888889
sp_sps,110JG,18,16.97222222
sp_sps,110JG,20,11.28968254
sp_sps,110JG,18,18.34610473
sp_sps,110JG,4,20.64444444
sp_sps,110JG,20,15.17615176
sp_sps,110JG,19,12.79569892
sp_sps,110JG,4,13.02777778
sp_sps,110JG,23,16.31519274
sp_sps,110JG,16,19.59908362
sp_sps,110JG,21,17.16374269
sp_sps,110JG,15,14.90397805
sp_sps,110JG,18,20.4468599
sp_sps,110JG,0,15.48611111
sp_sps,110JG,18,17.72321429
sp_sps,110JG,17,15.40873016
sp_sps,110JG,19,15.97222222
sp_sps,110JG,20,17.38095238
sp_sps,110JG,15,16.69294294
sp_sps,110JG,19,16.75925926
sp_sps,110JG,17,24.6412037
sp_sps,110JG,13,15.99794239
sp_sps,110JG,15,15.86111111
sp_sps,110JG,21,16.81681682
sp_sps,110JG,19,15.87301587
sp_sps,110JG,5,17.08222222
sp_sps,110JG,7,15.99761051
sp_sps,110JG,21,16.22605364
sp_sps,110JG,9,18.41463415
sp_sps,110JG,22,14.30260047
sp_sps,110JG,0,16.41269841
sp_sps,110JG,10,16.2311828
sp_sps,110JG,20,15.94797178
sp_sps,110JG,18,16.89009662
sp_sps,110JG,3,18.78205128
sp_sps,110JG,20,14.92937853
sp_sps,110JG,21,13.18930041
sp_sps,110JG,16,15.82364341
sp_sps,110JG,21,14.82269504
sp_sps,110JG,20,19.18859649
sp_sps,110JG,22,15.5664488
sp_sps,110JG,5,15.94017094
sp_sps,110JG,19,13.14980159
sp_sps,110JG,6,16.10465116
sp_sps,110JG,20,20.79365079
sp_sps,110JG,1,16.80260047
sp_sps,110JG,4,18.92424242
sp_sps,110JG,11,16.6729798
sp_sps,110JG,1,15.56194125
sp_sps,110JG,18,21.21794872
sp_sps,110JG,20,17.08333333
sp_sps,110JG,16,15.27006173
sp_sps,110JG,15,14.60858586
sp_sps,110JG,5,18.74354005
sp_sps,110JG,1,17.06417625
sp_sps,110JG,17,20.36848073
sp_sps,110JG,21,20.36324786
sp_sps,110JG,5,16.90740741
sp_sps,110JG,13,15.71278826
sp_sps,110JG,16,16.88425926
sp_sps,110JG,22,18.87947269
sp_sps,110JG,6,16.01388889
sp_sps,110JG,19,13.56060606
sp_sps,110JG,8,16.25661376
sp_sps,110JG,11,15.1010101
sp_sps,110JG,19,14.65856481
sp_sps,110JG,21,16.6468254
sp_sps,110JG,2,18.91891892
sp_sps,110JG,5,17.5093633
sp_sps,110JG,18,19.25653595
sp_sps,110JG,14,15.57249322
sp_sps,110JG,5,11.37254902
sp_sps,110JG,20,15.39308176
sp_sps,110JG,20,14.84053498
sp_sps,110JG,5,17.7119883
sp_sps,110JG,17,16.85897436
sp_sps,110JG,5,18.70027435
sp_sps,110JG,14,8.527777778
sp_sps,110JG,20,16.88888889
sp_sps,110JG,21,16.29385965
sp_sps,110JG,5,15.66151203
sp_sps,110JG,0,15.77674897
sp_sps,110JG,8,16.17954911
sp_sps,110JG,19,13.75957854
sp_sps,110JG,22,17.8537037
sp_sps,110JG,14,13.70210728
sp_sps,110JG,14,17.90983607
sp_sps,110JG,5,19.14230019
sp_sps,110JG,17,18.37301587
sp_sps,110JG,15,13.78151261
sp_sps,110JG,5,18.98042929
sp_sps,110JG,2,16.05555556
sp_sps,110JG,17,15.44949495
sp_sps,110JG,7,11.63703704
sp_sps,110JG,17,12.84956305
sp_sps,110JG,15,16.03732639
sp_sps,110JG,18,6.296296296
sp_sps,110JG,11,16.77927928
sp_sps,110JG,16,18.41145833
sp_sps,110JG,21,16.1352657
sp_sps,110JG,22,12.15465465
sp_sps,110JG,0,15.33264746
sp_sps,110JG,18,14.63186078
sp_sps,110JG,17,15.91121495
sp_sps,110JG,16,13.35125448
sp_sps,110JG,12,17.91269841
sp_sps,110JG,19,14.45175439
sp_sps,110JG,21,15.62330623
sp_sps,110JG,1,17.59259259
sp_sps,110JG,17,16.34696017
sp_sps,110JG,0,16.35143571
sp_sps,110JG,18,14.67664931
sp_sps,110JG,19,16.11328125
sp_sps,110JG,0,12.98941799
sp_sps,110JG,18,12.71604938
sp_sps,110JG,20,14.5970266
sp_sps,110JG,11,17.9526749
sp_sps,110JG,18,18.33063646
sp_sps,110JG,22,15.74455899
sp_sps,110JG,23,14.76996528
sp_sps,110JG,18,13.44444444
sp_sps,110JG,22,16.07407407
sp_sps,110JG,15,14.55
sp_sps,110JG,16,16.54151404
sp_sps,110JG,8,18.05555556
sp_sps,110JG,11,18.44135802
