,list_hr,move
251,0,sp_sps
252,10,sp_sps
253,14,sp_sps
254,20,sp_sps
255,18,sp_sps
256,3,sp_sps
257,20,sp_sps
258,21,sp_sps
259,16,sp_sps
260,21,sp_sps
261,20,sp_sps
262,22,sp_sps
263,5,sp_sps
264,19,sp_sps
265,6,sp_sps
266,20,sp_sps
267,1,sp_sps
268,4,sp_sps
269,11,sp_sps
270,1,sp_sps
271,18,sp_sps
272,20,sp_sps
273,16,sp_sps
274,15,sp_sps
275,5,sp_sps
276,1,sp_sps
277,17,sp_sps
278,21,sp_sps
279,5,sp_sps
280,13,sp_sps
281,16,sp_sps
282,22,sp_sps
283,6,sp_sps
284,19,sp_sps
285,18,sp_sps
286,8,sp_sps
287,11,sp_sps
288,19,sp_sps
289,21,sp_sps
290,2,sp_sps
291,5,sp_sps
292,18,sp_sps
293,14,sp_sps
294,5,sp_sps
295,20,sp_sps
296,20,sp_sps
297,5,sp_sps
298,17,sp_sps
299,5,sp_sps
300,14,sp_sps
301,20,sp_sps
302,21,sp_sps
303,5,sp_sps
304,0,sp_sps
305,1,sp_sps
306,8,sp_sps
307,19,sp_sps
308,22,sp_sps
309,14,sp_sps
310,14,sp_sps
311,5,sp_sps
312,17,sp_sps
313,15,sp_sps
314,5,sp_sps
315,2,sp_sps
316,17,sp_sps
317,7,sp_sps
318,17,sp_sps
319,15,sp_sps
320,18,sp_sps
321,11,sp_sps
322,16,sp_sps
323,21,sp_sps
324,22,sp_sps
325,0,sp_sps
326,18,sp_sps
327,17,sp_sps
328,16,sp_sps
329,12,sp_sps
330,19,sp_sps
331,21,sp_sps
332,1,sp_sps
333,17,sp_sps
334,0,sp_sps
335,22,sp_sps
336,18,sp_sps
337,19,sp_sps
338,0,sp_sps
339,18,sp_sps
340,4,sp_sps
341,20,sp_sps
342,11,sp_sps
343,18,sp_sps
344,22,sp_sps
345,23,sp_sps
346,18,sp_sps
347,22,sp_sps
348,15,sp_sps
349,16,sp_sps
350,8,sp_sps
351,11,sp_sps
352,17,sp_sps
353,6,sp_sps
354,20,sp_sps
355,10,sp_sps
356,19,sp_sps
357,18,sp_sps
358,14,sp_sps
359,17,sp_sps
360,0,sp_sps
361,18,sp_sps
362,20,sp_sps
363,17,sp_sps
364,4,sp_sps
365,2,sp_sps
366,22,sp_sps
367,1,sp_sps
368,4,sp_sps
369,11,sp_sps
370,20,sp_sps
371,8,sp_sps
372,7,sp_sps
373,5,sp_sps
374,22,sp_sps
375,0,sp_sps
376,9,sp_sps
377,10,sp_sps
378,2,sp_sps
379,17,sp_sps
380,18,sp_sps
381,21,sp_sps
382,17,sp_sps
383,22,sp_sps
384,8,sp_sps
385,14,sp_sps
386,20,sp_sps
387,23,sp_sps
388,18,sp_sps
389,20,sp_sps
390,19,sp_sps
391,21,sp_sps
392,23,sp_sps
393,17,sp_sps
394,23,sp_sps
395,3,sp_sps
396,15,sp_sps
397,10,sp_sps
398,11,sp_sps
399,23,sp_sps
400,5,sp_sps
401,14,sp_sps
402,16,sp_sps
403,22,sp_sps
404,5,sp_sps
405,6,sp_sps
406,2,sp_sps
407,5,sp_sps
408,1,sp_sps
409,7,sp_sps
410,10,sp_sps
411,18,sp_sps
412,11,sp_sps
413,7,sp_sps
414,20,sp_sps
415,16,sp_sps
416,12,sp_sps
417,12,sp_sps
418,18,sp_sps
419,18,sp_sps
420,9,sp_sps
421,17,sp_sps
422,21,sp_sps
423,16,sp_sps
424,22,sp_sps
425,18,sp_sps
426,9,sp_sps
427,13,sp_sps
428,15,sp_sps
