,travel time,real travel time,euc_dist,distance,hour of day,O lat,O lon,D lat,D lon
9548,617,634.0000002,0.03346564843238647,8328.002,8,49.404547,18.632641,49.416027,18.664076
9549,299,334.99999998,0.009111401648485565,1254.022,0,49.404644,18.632469,49.40415,18.623371
9550,309,337.99999998000004,0.029114699534772633,3096.2080000000005,5,49.404375,18.632898,49.4118,18.604746
9551,598,612.0,0.0780043109706091,8909.458,12,49.404558,18.632512,49.459919,18.577559
9552,265,294.0,0.021743703939299037,1781.2690000000002,2,49.404333,18.632662,49.408452,18.611312
9553,368,382.00000002,0.03551698185375513,2905.277,17,49.404676,18.632619,49.413356,18.667059
9554,204,237.0,0.0070748264289662525,1591.4299999999998,2,49.220827,18.753469,49.217307,18.747332
9555,596,610.0000001999999,0.020657906210452995,2953.61,14,49.220827,18.753855,49.203135,18.76452
9556,292,300.0,0.025347038426604716,2533.407,17,49.220719,18.753641,49.23059,18.730295
9557,604,642.0,0.0677361897437407,10693.671999999999,19,49.220837,18.753791,49.200088,18.818271
9558,656,672.0,0.06678365040187652,10060.5,6,49.220773,18.753812,49.286498,18.741968
9559,247,259.99999998,0.021646225768020496,3114.635,8,49.220719,18.753512,49.208928,18.735359
9560,1201,1228.0000002,0.12570525550270442,19179.321,21,49.220751,18.753705,49.262057,18.87243
9561,1048,1075.0000002000002,0.19333480524726704,21221.656,0,49.220762,18.753641,49.220204,18.560307
9562,269,276.0,0.03595438950949232,5034.601000000001,10,49.220204,18.75525,49.190239,18.73538
9563,1287,1306.9999998,0.15153800366244646,16943.789,23,49.220709,18.753576,49.306732,18.628821
9564,413,445.00000002,0.048886764384645724,5368.322000000001,6,49.220762,18.753555,49.191816,18.792951
9565,266,292.00000001999996,0.01129009464087976,1175.822,7,49.220827,18.753812,49.223241,18.742783
9566,1023,1048.9999998,0.15659433667920356,19384.497,10,49.220848,18.753748,49.20874600000001,18.597622
9567,479,498.00000000000006,0.010291118112225906,3156.8740000000007,14,49.220762,18.753684,49.21142800000001,18.758018
9568,154,172.00000002000002,0.008480318685050482,1400.0430000000001,1,49.220869,18.753812,49.216138,18.746774
9569,993,1012.0000002,0.11637970957602865,10110.117,11,49.220869,18.753769,49.182289,18.863568
9570,1444,1471.0000002,0.13421254834403543,16784.672,14,49.220762,18.753684,49.156024,18.636117
9571,607,625.0000001999999,0.05268911866789992,7621.957,20,49.220644,18.753576,49.179145,18.721111
9572,346,373.00000002,0.014164321515693159,1798.1070000000002,22,49.220837,18.753662,49.21347700000001,18.765764
9573,377,403.9999999799999,0.009575060365344645,1259.419,2,49.220869,18.753598,49.223004,18.744264
9574,382,396.0,0.019139346200957887,2764.7670000000007,21,49.22073,18.753748,49.217608,18.734865
9575,365,391.99999998,0.036779637219528837,5902.393,12,49.220751,18.753684,49.186816,18.767867000000006
9576,489,499.9999999799999,0.07956210652062819,8471.867000000002,7,49.22088,18.753877,49.204765,18.675964
9577,410,438.0,0.040504758856213234,5564.472999999999,9,49.220784,18.753726,49.187975,18.729973
9578,474,501.0,0.05280162482348658,5487.015,18,49.220784,18.753705,49.189144,18.795977
9579,548,574.99999998,0.0855271721326055,12210.922999999999,19,49.22088,18.753641,49.300198,18.785634
9580,523,550.00000002,0.02140225058258689,3117.037,9,49.220848,18.753791,49.203285,18.766022
9581,359,385.99999998,0.007990011889855772,2586.068,17,49.220837,18.753791,49.214604,18.75879
9582,399,426.0,0.021936893125502874,3175.9069999999997,20,49.220827,18.753748,49.20988300000001,18.734736
9583,417,444.0,0.012476773661487863,1576.979,8,49.220805,18.753769,49.214089,18.764284
9584,119,145.00000002,0.004363574795968819,891.488,18,49.220837,18.753748,49.22058,18.749392
9585,578,604.9999998000001,0.021392052589689466,3048.6039999999994,19,49.220869,18.753662,49.203274,18.765829
9586,333,339.0,0.023390302883884207,4108.372,4,49.220741,18.753619,49.204379,18.736904
9587,1037,1042.9999997999998,0.18406486848119794,19401.523,6,49.220869,18.753834,49.230204,18.570006
9588,434,462.0,0.015070727421060599,2674.5629999999996,12,49.220837,18.753812,49.226802,18.739972
9589,247,274.00000002,0.01030151687859306,2788.798,14,49.220816,18.753726,49.211471,18.758061
9590,608,634.0000002,0.1013136093967613,10966.904999999999,16,49.220794,18.753769,49.254901,18.658369
9591,666,691.9999998,0.03658805620690534,8185.869999999999,17,49.22073,18.753684,49.255266,18.741603
9592,388,406.99999998,0.01663573878731992,2199.7920000000004,22,49.220869,18.753748,49.212426,18.768082
9593,281,307.99999998000004,0.010816931265379224,3361.3500000000004,0,49.220816,18.753684,49.211235,18.758705
9594,1019,1045.9999998,0.10447438241502177,16997.369,8,49.220805,18.753726,49.324596,18.741796
9595,344,361.0000000200001,0.024983498093740425,2421.027,12,49.220891,18.753641,49.23059,18.730617
9596,818,844.9999998000001,0.05181111839171039,6584.812999999999,16,49.220816,18.753791,49.171849,18.770721
9597,222,232.00000002000002,0.01283626152740731,1749.2050000000002,3,49.220805,18.753791,49.213992,18.76467
9598,698,724.9999998000001,0.05510834347900456,7647.553,8,49.220773,18.753619,49.173813,18.72478
9599,531,558.0,0.04587962353812372,6444.865,17,49.220762,18.753598,49.213746,18.708258
9600,751,778.0000002,0.07442398261313539,6581.558,5,49.220816,18.753769,49.197974,18.824601
9601,274,301.00000002,0.01701464383994667,3027.7560000000003,19,49.220902,18.753684,49.215505,18.769820000000006
9602,297,297.0,0.01030702115064385,3464.514,9,49.220666,18.75349,49.21142800000001,18.758061
9603,354,381.0,0.014377997426621485,2180.5180000000005,10,49.220859,18.753726,49.213198,18.765893
