EdgeID,Highway
55267,residential
55268,residential
55269,residential
55270,residential
55271,residential
55277,residential
55278,residential
55279,residential
55281,primary_link
55291,residential
55364,secondary
55365,secondary
55366,secondary
55367,secondary
55368,secondary
55369,secondary
55370,secondary
55371,secondary
55372,secondary
55373,secondary
55374,secondary
55375,secondary
55376,secondary
55377,secondary
55378,secondary
55379,secondary
55380,secondary
55381,secondary
55382,secondary
55383,secondary
55384,secondary
55385,secondary
55386,secondary
55387,secondary
55388,secondary
55389,secondary
55390,secondary
55391,secondary
55392,secondary
55393,secondary
55394,secondary
55395,secondary
55396,secondary
55397,secondary
55398,secondary
55399,secondary
55400,secondary
55401,secondary
55402,secondary
55403,secondary
55404,secondary
55405,secondary
55406,secondary
55407,secondary
55408,secondary
55595,living_street
55596,living_street
55597,living_street
55599,residential
55600,residential
55601,service
55602,service
55603,residential
55604,residential
55605,residential
55606,residential
55607,residential
55608,residential
55609,residential
55611,living_street
55612,living_street
55613,living_street
55615,residential
55616,residential
55617,secondary_link
55618,tertiary
55619,tertiary
55620,tertiary
55621,tertiary
55622,tertiary
55623,secondary_link
56136,tertiary
56137,tertiary
56138,tertiary
56162,primary_link
56163,unclassified
56164,unclassified
56165,unclassified
56166,unclassified
56167,unclassified
56168,primary
56169,primary
56170,unclassified
56171,unclassified
56172,unclassified
56173,unclassified
56174,unclassified
56175,unclassified
56176,unclassified
56177,unclassified
56178,unclassified
56179,unclassified
56180,unclassified
56181,unclassified
56182,unclassified
56183,unclassified
56184,unclassified
56185,residential
56186,residential
56187,residential
56188,primary_link
56189,primary_link
56190,primary_link
56191,primary_link
56192,primary_link
56193,unclassified
56194,unclassified
56195,primary_link
56196,primary_link
56197,primary_link
56198,primary_link
56199,tertiary
56200,tertiary
57170,primary
57171,primary
57172,primary
57173,primary
57177,primary
57178,primary
57709,residential
57710,residential
57711,residential
57712,residential
57713,residential
57714,residential
57715,residential
57716,residential
57717,residential
57718,residential
57719,residential
57720,residential
57721,residential
57722,residential
57723,residential
57724,residential
57727,residential
57728,residential
57729,residential
57730,residential
57731,residential
57732,residential
57733,residential
57734,residential
57735,residential
57736,residential
57737,residential
57738,residential
57740,service
57743,residential
57744,residential
57745,residential
57746,residential
57747,residential
57748,residential
57750,residential
57751,residential
57752,residential
57753,residential
57754,residential
57755,residential
57756,residential
57757,residential
57758,residential
57759,service
57760,residential
57761,residential
57762,residential
57763,residential
57764,residential
57765,residential
57771,residential
57772,unclassified
57773,residential
57774,tertiary
57775,primary_link
58193,primary
58194,primary
58195,primary
58196,primary
58197,residential
58198,residential
58199,residential
58200,residential
58201,residential
58202,residential
58203,residential
58204,residential
58205,residential
58206,residential
58207,residential
58208,residential
58209,residential
58213,unclassified
58214,unclassified
58215,unclassified
58216,residential
58217,unclassified
58218,residential
58219,residential
58220,residential
58222,residential
58223,residential
58224,residential
58227,tertiary
58228,tertiary
58229,tertiary
58230,tertiary
58231,tertiary
58232,residential
58233,residential
58234,residential
58235,residential
58236,residential
58237,residential
58238,tertiary
58240,residential
58242,unclassified
58243,residential
58244,residential
58245,residential
58246,residential
58247,residential
58248,primary_link
58251,residential
58252,residential
58253,residential
58254,residential
58255,residential
58256,residential
58257,residential
58258,residential
58259,residential
58260,residential
58262,residential
58263,residential
58264,residential
58265,residential
58266,residential
58267,residential
58268,residential
58269,residential
58270,residential
58271,residential
58273,residential
58274,residential
58275,residential
58276,residential
58279,tertiary
58281,residential
58282,residential
58283,residential
58284,primary_link
58285,primary_link
58286,residential
58288,primary
58289,service
58290,service
58291,service
58292,service
58294,primary
58295,primary
58296,unclassified
58297,residential
58300,residential
58301,residential
58302,residential
58303,residential
58304,residential
58305,residential
58306,residential
58307,residential
58308,residential
58309,residential
58310,residential
58311,residential
58312,residential
58313,residential
58314,residential
58315,residential
58316,residential
58317,residential
58318,residential
58319,residential
58320,residential
58321,residential
58322,service
58323,service
58324,service
58325,service
58326,service
58327,residential
58328,residential
58329,residential
58330,residential
58331,residential
58332,residential
58333,residential
58339,residential
58343,unclassified
58344,primary
58345,residential
58346,service
58347,service
58348,service
58349,service
58350,residential
58351,residential
58352,residential
58353,residential
58354,residential
58355,residential
58356,residential
58357,residential
58378,residential
58379,residential
58380,residential
58381,residential
