,Time Error [s]
144,-1069.1898096878986
145,-694.5542470066257
146,
147,-2954.5424341551507
148,-586.4603993173026
149,-1355.9904097486208
150,-1600.256466398175
151,-1428.7900108313347
152,-1210.1487096807027
153,
154,-874.3366330477268
155,-1051.157646752177
156,-1830.5733809348826
157,-3639.4110659460503
158,-2245.755377888771
159,-2522.6300036785797
160,-386.37153513975534
161,
162,-637.5575151423423
163,
164,
165,
166,-2663.934375029212
167,
168,-647.1729203007167
169,-863.1209679474437
170,-1227.9179864491957
171,-2328.7920537612677
172,-1697.0010515872555
173,
174,-1749.3633793069503
175,
176,-1531.957140712076
177,
178,-786.8152397515912
179,-896.1474836331331
180,-2776.485713861086
181,
182,
183,
184,-1081.1019620677332
185,-685.8808681410842
186,-1182.9931172604865
187,
188,
189,-469.88801792497145
190,
191,-2893.991775618939
192,-2510.031627343187
193,-3534.7573319783633
194,-115.35165807468638
195,-2492.490441767459
196,-515.2986813555802
197,-592.0161441339297
198,
199,-2610.203916537438
200,-2540.482348530767
201,-2558.007596965128
202,-2672.061700365186
203,-2176.1317558026753
204,34.24598747908065
205,-971.0369456833309
206,-591.7832412502413
207,-2014.6359039554786
208,-375.5821245090949
209,
210,-505.8405985946399
211,-1793.757977080832
212,-2583.899693611097
213,-2632.9251089522713
214,-989.9621908447684
215,-1555.8783538569069
216,-259.1782742968103
217,-3162.181035406884
218,-2633.307319837164
219,
220,-632.1382363060294
221,
222,-1659.2949874452765
223,-2394.2022216901805
224,
225,-2716.968945972656
226,
227,-301.96837069124336
228,-1951.3591007861205
229,
230,-223.96531544431855
231,-2583.6666102089603
232,
233,-1019.8977618974941
234,-536.7772339137183
235,-466.7747074019468
236,-2250.720661638899
237,
238,-3844.4620095347736
239,
240,-3743.428760549793
241,
242,-2968.465310048182
243,-1096.1685137416248
244,-1390.8047330664153
245,
246,-1178.4950150648942
247,-3460.4940891790357
248,
249,
250,-239.5997577877083
251,-505.43540231166276
252,150.8613555425228
253,-2045.390707912035
254,-340.80921767873997
255,-17.68914440695241
256,-635.7007204139418
257,-1481.1930846154005
258,-2191.591435085483
259,
260,-298.0716603877938
261,-423.1625418098371
262,-1216.618811804465
263,-1588.642884022409
264,-959.5781179281039
265,
266,
267,
268,
269,-190.5134769498651
270,152.88402753848243
271,
272,-2544.200878877211
273,-1084.303864679478
274,-249.07461789846298
275,-520.6117467624692
276,-2542.131976714848
277,
278,-1788.7744499394844
279,-2206.6831083694956
280,-769.2374340575552
281,-2468.6687353728257
282,-1922.669740164738
283,-2038.65370712491
284,-280.3793498808925
285,-1379.084540975461
286,-1361.0105856652076
287,
288,-879.5834928597315
289,-806.1381974679441
290,-1604.5108577016267
291,-152.7662913441073
292,
293,-745.5004375967126
294,-753.9761367735523
295,-1039.9100250844072
296,-509.709619458411
297,-1361.6030298852493
298,-1910.3585952323929
299,-2207.7026947025765
300,-1816.343305653922
301,
302,-945.3645740509724
303,
304,-682.3921273057864
305,
306,-2090.58841527811
307,-2456.5502043416022
308,-945.4658041818072
309,-981.6804726533464
310,-1195.0035132654916
311,-1745.126374082813
312,-400.7657447402379
313,
314,-2420.0669324210558
315,
316,-2753.4735365901215
317,-1999.8057420570558
318,-1641.0220880680195
319,-1321.7044343418052
320,-5501.547465701813
321,-870.6802602112605
322,-2874.246404823505
323,-3243.6705760107025
324,-582.4401410520106
325,-474.1452951517364
326,-1124.8099936716308
327,-719.4798827719583
328,-1021.6721238858211
329,-757.11162503591
330,-2645.3303295103287
331,-374.3898928000352
332,-1913.6815145795517
333,-627.7190756916278
334,-1293.695108327173
335,-911.1540757631033
336,
337,
338,
339,-4108.708179281009
340,-2297.0498260874683
341,-1454.1122406963937
342,
343,-1243.0478046100277
344,
