,Time Error [s]
795,-1007.2296648479455
796,-1424.2425448526865
797,-748.9189040327178
798,-764.5828038260975
799,-2309.9037308106253
800,-138.60236390746735
801,-990.2453172876169
802,-590.370913137322
803,
804,-1614.297277377722
805,-1498.8827118316917
806,
807,-1142.144728565229
808,-360.8146762087247
809,-1637.2267514767232
810,
811,-595.3460162837325
812,-344.4353580332204
813,-613.010327571089
814,-864.9743804275301
815,-2344.387809552475
816,-766.2794921956624
817,-2779.0545747015003
818,-1189.8815265195744
819,-1447.0883083470385
820,-546.3966325995634
821,-1070.982547542369
822,
823,-1695.7831261592992
824,-1275.6529588760677
825,-495.44519626900524
826,
827,-718.6130806952146
828,-1167.6715196276452
829,48.50599748983848
830,-950.8040468831891
831,-400.17199791709663
832,-704.358061515356
833,-1014.3035156208725
834,-1014.9488191526061
835,-673.0272092178157
836,
837,-954.9799677503315
838,-2269.5254898791773
839,-764.8105778657437
840,
841,-948.0767499398366
842,-737.858605249105
843,-766.519149398493
844,
845,-735.0337049827272
846,-2440.424442235656
847,
848,-763.5253099663253
849,-306.24107406986195
850,-1763.0621524083595
851,1384.7981269753755
852,-1486.1071158948866
853,-1028.413374607868
854,-538.1770344501635
855,-1683.1935512871012
856,151.39608937800222
857,-205.8890192489077
858,-697.2824331446109
859,-1115.6425414142755
860,-607.9800072710952
861,-1081.8066154215803
862,-452.39709810966224
863,-2335.9420438843645
864,-428.30726724298154
865,
866,
867,-1922.6817547693631
868,-2014.7188966352023
869,-981.6397607934746
870,
871,-782.4664836049014
872,-680.9225659971177
873,-812.5534242408744
874,
875,
876,
877,-1859.5491156115545
878,-359.8129352341938
879,-2260.8154081320527
880,
881,-647.9497643494641
882,-379.479591978446
883,-302.17266470934726
884,
885,-2328.4456776961683
886,-2558.5474032864768
887,-552.6765850844549
888,-2268.432641489537
889,-310.4569367557699
890,-215.42362342564343
891,-2136.7354815569247
892,-454.6753941612103
893,
894,-2218.2745845132845
895,-2132.5865357505772
896,-498.6913281152931
897,-1999.3427489859673
898,-2269.616433937877
899,-828.2198884799568
900,
901,
902,-2461.267634193953
903,-234.30319825335368
904,-1928.9458071193667
905,-1956.7418939902009
906,-444.0672314368411
907,-708.18753426903
908,-261.8472376108142
909,
910,
911,
912,-1168.2768904189124
913,-1273.1072571181721
914,-349.2071628890068
915,-1446.7000934420962
916,
917,
918,-1054.913300092224
919,
920,-1041.0574776585388
921,-2007.9042871502925
922,-2227.658505989939
923,-529.4721271273523
924,-1955.9344282212664
925,-867.9788788358073
926,-2119.560308187875
927,-1660.0521478805363
928,-2398.0670700655055
929,-685.7325661757432
930,-1336.7903052280972
931,-629.0350104263568
932,-1001.0881770555477
933,-696.7786993545326
934,-2889.5755234151284
935,-799.189901712977
936,-750.6114291139838
937,
938,-1004.4718040738483
939,-1738.4889814323678
940,
941,-1790.379548555713
942,
943,-1960.37722192938
944,-1177.027787742049
945,-374.8304941195496
946,
947,
948,-520.0874777166784
949,-581.5592112716008
950,
951,-917.2418460233007
952,
953,-1316.359511514613
954,-364.2594217860717
955,-395.94481953889874
956,-1003.3343272482646
957,
958,-1799.7506713181488
959,-1442.5501882117537
960,-1346.9168907565395
961,-1387.8699383597611
962,
963,-1540.6910020216176
964,-566.061612265552
965,-647.8586312083776
966,-167.84544038385854
967,
968,
969,-1713.346592251302
970,-1036.086461847105
971,-2889.576222151577
972,-1086.1168413945597
973,
974,-1754.1125981383811
975,-435.8361081304049
976,-153.89829726354787
977,-2128.895373132318
978,-1220.3085937499527
979,-1305.0024125351815
980,
981,-985.1547181275771
982,-165.26316682261938
983,
984,-1755.7524709729892
985,-1682.3304515905802
986,-213.67378962441887
987,-562.9099335667638
988,-276.9549285165706
989,-295.2515515711392
990,-2293.111976780647
991,-1497.0245888335153
992,-303.3423477829633
993,-2271.884026770047
994,-474.1797697147126
995,-1374.1028136153545
996,-666.3968026738612
997,
998,-1118.1205344251098
999,-1533.4036114431278
1000,-148.38186074836602
1001,-2803.534082308081
1002,
1003,-1533.056625220359
1004,-159.82065032285425
1005,-353.3730837772649
1006,-2256.3168174331763
1007,-1620.6188152625477
1008,-866.3736140904477
1009,-3457.548177913427
1010,-627.494802301974
1011,
1012,-1588.7885537130387
1013,-2326.630796870081
1014,-1098.6138968477571
1015,-597.9099079990353
1016,-617.6317017854358
1017,-1020.8882777283645
1018,-355.05454534914907
1019,-566.1811894663804
1020,-2495.184698481575
1021,
1022,-810.069799963062
1023,-1517.4128313084943
1024,-1997.2511681197752
1025,-1294.7799361342436
1026,-2863.9100423343107
1027,-1784.4144131520761
1028,-856.8890218417612
1029,-1664.2671587944865
1030,-989.3124323075615
