,Time Error [s]
139,-1485.596629570642
140,-1109.2820014492709
141,-2258.3881186869817
142,-1093.810698890271
143,-1712.6879394275115
144,
145,-899.7544750515572
146,-784.3673726434902
147,-1343.9043470816707
148,-780.0646660462144
149,
150,-843.5336972130267
151,-1478.2482437714148
152,-1737.0918528165116
153,-1207.015334782604
154,-1732.5107029498176
155,
156,-978.9202176789222
157,-883.0889656469571
158,-1607.2501016088418
159,-1231.9313412499564
160,-1909.4325712057039
161,-955.2748556433125
162,-1396.7261666539202
163,-1487.15629903755
164,-736.5300942041195
165,-1287.8106309498517
166,
167,-1536.9103697953637
168,-2057.312359997406
169,-889.3683234783698
170,-836.3992799576597
171,-1665.2586074874675
172,-426.3751895373182
173,-1093.2398961681329
174,-1803.925113179781
175,-688.4547454382914
176,-2205.953729109937
177,-758.3983767879517
178,-1447.897340463598
179,-1507.075436832285
180,-1154.8854368033847
181,-1663.5003932636541
182,-1193.0480385391538
183,-2112.971044652578
184,-1539.769979736786
185,-1178.9116346446258
186,-1520.0683344102295
187,-1165.3265718227804
188,-1152.884217040812
189,-1920.2480993051477
190,-1569.512584051236
191,-2260.63298949197
192,-1777.706925068488
193,-1070.2119221412518
194,-1524.627901215053
195,-943.0343365747881
196,-1443.0088658214895
197,
198,-1181.7083987494063
199,-1846.1315126846116
200,-434.98301854755437
201,-1419.3263803236812
202,-1040.0539387556923
203,-3299.4251393290997
204,-1331.5260244279607
205,
206,-689.7836602659495
207,-1105.22826815353
208,-1349.4693797247382
209,
210,-1375.3223300072684
211,-1473.4451810775272
212,-1565.752372745615
213,-1938.4710194057393
214,
215,-1091.2798577180633
216,-1292.1314179385777
217,-1473.6327578867235
218,-969.7853592508473
219,
220,
221,-1703.5152248962931
222,-1428.0371548420667
223,
224,-1347.0379871213504
225,-1140.9960888121993
226,-1287.6618004686493
227,-1357.2462358721534
228,-1064.9892647796132
229,-2155.1587307229725
230,
231,
232,-1506.3329416781337
233,-1682.8432331387144
234,-3429.488596269761
235,-1953.188531493623
236,-2727.1118030811813
237,-1211.6721648598377
238,-2450.9861839953514
239,-1462.8477572595157
240,-1062.6610329735076
241,-1917.9862645226053
242,-1064.9788762926967
243,-1769.5962658799976
244,-1725.5890458662916
245,-1872.76981640049
246,-1059.744553054737
247,-1508.2760967253585
248,-601.9547236974652
249,-3007.7346663086037
250,-1011.4263480081593
251,-808.9380946824517
252,-1705.49481640049
253,-1448.396955362567
254,
255,-2348.104306472742
256,
257,-992.9707849162569
258,-1258.219531393836
259,
260,-994.1897615896951
261,-2069.7104394689254
262,-642.7057100675356
263,
264,-1267.7529357373473
265,-1654.6162909088034
266,-1632.5536716971624
267,-819.8186627443918
268,-1943.1508726776206
269,-1939.7845913602741
270,-1882.7646084417652
271,-2018.5065215967716
272,-1207.2029797063665
273,-1524.6844004930158
274,-1411.0676064994022
275,-1217.410007584312
276,-1069.521390364132
277,-1227.0929160011462
278,-1228.1441308375186
279,-1916.9433102375715
280,
281,-668.2080020707517
282,
283,
284,
285,-2269.7001065957274
286,-1018.0244140797331
287,-368.2177694976863
288,-1520.9213965617814
289,
290,-1668.4808267982671
291,-1272.9776339330795
292,
293,-2296.796056482217
294,-969.8646163411604
295,-3179.816237487664
296,-914.5786661580826
297,-1384.7489105512636
298,-1367.5653078129344
299,-582.5640976633246
300,-1135.546433488352
301,-968.1726951956632
302,-828.4959424728947
303,
304,-1163.4606419038448
305,-712.7056222372105
306,-1706.2399972832304
307,
