,Time Error [s]
167,-1409.6521940438101
168,
169,-1099.5649145385564
170,
171,-1040.3915951905906
172,-2313.5158735632813
173,-731.2313578229691
174,-1240.713805786355
175,-1096.0652867985866
176,-4498.368891900263
177,-1985.876913461735
178,
179,-2121.011765059722
180,-3134.340565407091
181,
182,
183,-1086.6086253993562
184,
185,-2848.1147469955695
186,
187,-2640.3672907728906
188,
189,-1351.8815699180566
190,-774.9607982207557
191,
192,
193,-1610.5549366713115
194,-1599.841113063465
195,-2506.9692922826134
196,
197,-2635.25354655559
198,
199,-660.1069839911913
200,-1596.5071069795904
201,
202,-1390.2879636541868
203,
204,-1100.9798973167306
205,-2809.107019694295
206,-338.1310844150544
207,
208,
209,
210,
211,-1527.6052069413108
212,-1228.0959441527857
213,
214,-464.08057838278626
215,-3141.413732656858
216,-1385.3521223341622
217,-2487.0737647522287
218,-2975.420335518834
219,
220,-1422.4484048863544
221,-1443.923562453043
222,-2653.9554077047933
223,-1460.7737547941372
224,
225,-2939.4264518077784
226,-1789.9740024357825
227,-1741.182102477543
228,-728.611125923164
229,
230,-1179.4386080604563
231,
232,
233,-3337.0075159541952
234,
235,-1317.5439527259978
236,-3163.235459547659
237,
238,-2469.9615865216774
239,
240,-1139.3633345814865
241,-3049.351560738909
242,
243,
244,
245,-1597.2333177898754
246,
247,-1169.16473361772
248,
249,-2531.351588162237
250,-1910.4109120365151
251,-1125.3478323897443
252,
253,-1746.7641565248618
254,-1314.456135325645
255,-1093.2897598753884
256,
257,-2003.3397455220502
258,-2279.9029844835277
259,-1676.0857939464436
260,-3518.4983727508106
261,-862.3714236574185
262,-2083.0904516832074
263,
264,-812.8391004751759
265,-2375.171247065339
266,-1089.3040618782657
267,-2835.922540318612
268,-2663.1901771915495
269,-1560.9471320936427
270,-1724.6027440851558
271,-3081.047684083056
272,-1680.8460078127923
273,-4726.907396509834
274,
275,-4759.929106706407
276,-3113.7568292174433
277,-2429.8301043206693
278,-1633.0301226094462
279,-1150.7360411558639
280,-1959.5047787907301
281,-960.456798377812
282,-1408.4516325660593
283,-2610.5381348908463
284,-2675.680080787265
285,-1984.3979204081984
286,-1165.0760612735073
287,-709.8932633400356
288,
289,-1674.0486457691968
290,-1343.1904447173904
291,
292,-2298.1990601879015
293,
294,-2034.9806228565276
295,-1449.2530165225494
296,-1130.6278352591926
297,-2513.086984994852
298,-1388.6166185765978
299,-1823.772120237084
300,-3018.0818249443573
301,-3000.007774691211
302,-2262.1650950808603
303,
304,-2238.7763359601972
305,-994.9571138131375
306,
307,
308,-1375.999435358409
309,-605.9398173086919
310,-2302.625864996411
311,-1189.322255470731
312,-1828.5551168908496
313,-2385.8105199364827
314,-3129.2530746376306
315,
316,-1965.2798034877055
317,
318,-3310.756939519588
319,-2990.5162276169367
320,-3280.7987486042352
321,-2565.571422363426
322,-2455.0368078729557
323,-2929.626081549073
324,
325,-1608.4363257876007
326,-2360.7902130425937
327,-3472.64421052965
328,-1707.20766058746
329,-1370.9112905832667
330,-1331.1940398685585
331,-2230.137749708493
332,-2177.2977897956384
333,-1409.7477955448799
334,-681.5239539422896
335,-4245.382605471174
336,
337,-2099.5974209583405
338,-1829.8238039984235
339,
340,-1073.2890696954469
341,-2046.8338941271454
342,-1033.2880111867312
343,-4571.519295118418
344,-1379.1090288877797
345,-1312.7040068920778
346,-463.4150938729273
347,-1739.5806954156633
348,-1956.9401742249215
349,-1241.3656050855855
350,-1840.5237103096697
351,-2227.588857689366
352,-594.6162056371996
353,-2172.8443238241744
354,-4179.795570964308
355,
356,-2912.1565450343132
357,
358,-2778.7015207040554
359,-2179.8820957825724
360,-852.356589076584
361,
362,
363,
364,-1034.009387475472
365,
366,-3022.7588500553015
367,-1830.1286921440756
368,-3570.3731156332733
369,-1507.5353544207082
370,
371,
372,-1799.8949980226191
373,-2509.6906656410183
374,-1215.0619754417612
375,-2254.448786622341
376,
377,-2026.7840017115145
378,
379,
380,-685.7335378701658
381,-1264.046505778667
382,-1696.2611942763324
383,-1253.185745686188
384,-1354.143186279075
385,-2916.975398030935
386,-2027.9530644132365
387,-1696.7068185907247
388,-2673.474973027207
389,-870.2519232251932
390,-2071.537788776783
391,
392,-2143.9427107129504
393,-2362.6414946964546
394,-979.1514728097161
395,-1593.6895205117546
396,-1789.6027443314306
397,-973.0206126794947
398,-2058.199961869348
399,-1466.2578486100592
400,
401,-1316.2077645037414
402,-1479.8296485181706
403,-2989.535028562368
404,-1013.5651389216284
405,-2537.482047331155
406,-1817.7389284824844
407,-1190.1497732132202
408,
409,-2160.723552476807
410,-1141.019310578833
411,-2849.1409020208057
412,-3401.8612471276456
413,-2104.5136903203484
414,-1154.4482152286882
415,-1725.8925908549804
416,-1087.2890696954469
417,
418,-1267.3153483528822
419,-2207.5861362896153
420,-1942.879968905198
