movement_id,x
280,57
281,58
282,58
283,58
284,58
285,58
286,0
287,59
288,59
289,59
290,59
291,0
292,60
293,60
294,60
295,60
296,0
297,61
298,61
299,62
300,62
301,62
302,62
303,62
304,62
305,62
306,62
307,63
308,63
309,0
310,64
311,64
312,65
313,65
314,65
315,65
316,66
317,66
318,66
319,66
320,67
321,67
322,67
323,68
324,68
325,68
326,69
327,69
328,69
329,69
330,0
331,0
332,0
333,70
334,70
335,70
336,70
337,70
338,0
339,0
340,0
341,71
342,71
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,72
357,72
358,73
359,73
360,73
361,73
362,73
363,73
364,0
365,0
366,0
367,0
368,0
369,74
370,74
371,74
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,75
383,75
384,76
385,76
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,77
402,77
403,77
404,77
405,78
406,78
407,78
408,78
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,79
423,79
424,0
425,80
426,80
427,80
428,80
429,80
430,81
431,81
432,81
433,82
434,82
435,0
436,83
437,83
438,83
439,83
440,83
441,83
442,0
443,84
444,84
445,84
446,85
447,85
448,86
449,86
450,86
451,86
452,86
453,86
454,86
455,87
456,87
457,87
458,88
459,88
460,0
461,0
462,89
463,89
464,89
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,90
474,90
475,90
476,90
477,91
478,91
479,0
480,92
481,92
482,92
483,93
484,93
485,0
486,0
487,0
488,0
489,0
490,0
491,94
492,94
493,94
494,94
495,94
496,95
497,95
498,95
499,0
500,96
501,96
502,97
503,97
504,0
505,98
506,98
507,98
508,98
509,98
510,98
511,99
512,99
513,99
514,0
515,0
516,0
517,100
518,100
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,101
528,101
529,101
530,102
531,102
532,102
533,102
534,102
535,102
536,102
537,0
538,0
539,0
540,0
541,0
542,103
543,103
544,0
545,104
546,104
547,104
548,105
549,105
550,105
551,0
552,0
553,0
554,0
555,0
556,106
557,106
558,106
559,106
560,107
561,107
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,108
579,108
580,108
581,108
582,108
583,108
584,108
585,108
586,108
587,108
588,108
589,0
590,0
591,109
592,109
593,109
594,110
595,110
596,110
597,0
598,0
599,0
600,0
601,111
602,111
603,111
604,112
605,112
606,0
607,113
608,113
609,113
610,113
611,113
612,114
613,114
614,114
615,0
616,0
617,0
618,115
619,115
620,115
621,115
622,115
623,116
624,116
625,116
626,116
627,0
628,0
629,117
630,117
631,117
632,118
633,118
634,118
635,119
636,119
637,119
638,119
639,120
640,120
641,121
642,121
643,122
644,122
645,122
646,122
647,122
648,123
649,123
650,123
651,0
652,0
653,0
654,0
655,0
656,0
657,124
658,124
659,0
660,125
661,125
662,0
663,126
664,126
665,126
666,126
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,127
675,127
676,127
677,127
678,127
679,127
680,127
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,128
696,128
697,128
698,128
699,128
700,128
701,0
702,0
703,0
704,0
705,129
706,129
707,129
708,129
709,129
710,129
711,130
712,130
713,130
714,130
715,130
716,131
717,131
718,131
719,131
720,0
721,0
722,0
723,0
724,0
725,132
726,132
727,133
728,133
729,133
730,0
731,0
732,0
733,0
734,0
735,0
736,134
737,134
738,0
739,0
740,0
741,0
742,0
743,135
744,135
745,135
746,135
747,135
748,135
749,136
750,136
751,136
752,136
753,137
754,137
755,137
756,137
757,138
758,138
759,138
760,139
761,139
762,139
763,139
764,139
765,139
766,139
767,139
768,139
769,140
770,140
771,140
772,0
773,0
774,141
775,141
776,141
777,142
778,142
779,142
780,142
781,142
782,142
783,142
784,142
785,142
786,142
787,143
788,143
789,143
790,144
791,144
792,144
793,144
794,0
795,0
796,0
797,145
798,145
799,145
800,145
801,145
802,146
803,146
804,146
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,147
815,147
816,148
817,148
818,148
819,0
820,0
821,0
822,0
823,0
824,0
825,149
826,149
827,149
828,149
829,0
830,150
831,150
832,150
833,150
834,151
835,151
836,151
837,0
838,0
839,0
840,0
841,152
842,152
843,0
844,0
845,0
846,0
847,0
848,153
849,153
850,153
851,153
852,0
853,0
854,0
855,154
856,154
857,154
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,155
872,155
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,156
896,156
897,156
898,156
899,156
900,156
901,156
902,156
903,156
904,0
905,157
906,157
907,157
908,0
909,158
910,158
911,158
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,159
936,159
937,159
938,159
939,159
940,159
941,159
942,159
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,160
953,160
954,160
955,160
956,160
957,160
958,160
959,160
960,0
961,0
962,161
963,161
964,161
965,162
966,162
967,162
968,163
969,163
970,163
971,164
972,164
973,164
974,165
975,165
976,165
977,166
978,166
979,166
980,166
981,166
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,167
993,167
994,0
995,0
996,0
997,0
998,0
999,168
1000,168
1001,0
1002,169
1003,169
1004,169
1005,169
1006,169
1007,169
1008,169
1009,0
1010,0
1011,0
1012,170
1013,170
1014,171
1015,171
1016,172
1017,172
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,173
1028,173
1029,173
1030,173
1031,173
1032,173
1033,173
1034,174
1035,174
1036,174
1037,0
1038,0
1039,0
1040,0
1041,0
1042,175
1043,175
1044,175
1045,176
1046,176
1047,176
1048,0
1049,0
1050,177
1051,177
1052,177
1053,177
1054,178
1055,178
1056,179
1057,179
1058,180
1059,180
1060,180
1061,181
1062,181
1063,181
1064,0
1065,182
1066,182
1067,182
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,183
1077,183
1078,0
1079,0
1080,184
1081,184
1082,184
1083,184
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,185
1091,185
1092,185
1093,185
1094,186
1095,186
1096,186
1097,187
1098,187
1099,0
1100,188
1101,188
1102,188
1103,188
1104,188
1105,188
1106,188
1107,188
1108,188
1109,188
1110,189
1111,189
1112,189
1113,189
1114,190
1115,190
1116,191
1117,191
1118,191
1119,191
1120,191
1121,191
1122,191
1123,192
1124,192
1125,193
1126,193
1127,193
1128,193
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,194
1136,194
1137,194
1138,0
1139,195
1140,195
1141,195
1142,195
1143,195
1144,196
1145,196
1146,196
1147,196
1148,197
1149,197
1150,0
1151,0
1152,0
1153,198
1154,198
