EdgeID,Length(m)(poly),Hour_of_Day,time_poly(s)
894,202.018,13.0,14.714285714285714
894,202.018,14.0,11.6
894,202.018,15.0,13.466666666666667
894,202.018,16.0,14.0
894,202.018,17.0,13.5
894,202.018,18.0,12.736842105263158
894,202.018,19.0,14.409090909090908
894,202.018,20.0,13.0
894,202.018,21.0,13.277777777777779
894,202.018,22.0,13.91304347826087
894,202.018,23.0,14.307692307692308
895,266.218,0.0,15.666666666666666
895,266.218,1.0,12.545454545454545
895,266.218,2.0,12.8
895,266.218,3.0,15.0
895,266.218,4.0,15.666666666666666
895,266.218,5.0,13.0
895,266.218,6.0,13.6
895,266.218,7.0,14.0
895,266.218,8.0,13.75
895,266.218,9.0,16.0
895,266.218,10.0,14.625
895,266.218,11.0,12.9
895,266.218,12.0,15.25
895,266.218,13.0,14.285714285714286
895,266.218,14.0,15.4
895,266.218,15.0,15.857142857142858
895,266.218,16.0,13.777777777777779
895,266.218,17.0,15.23076923076923
895,266.218,18.0,14.941176470588236
895,266.218,19.0,12.416666666666666
895,266.218,20.0,16.647058823529413
895,266.218,21.0,16.846153846153847
895,266.218,22.0,13.32
895,266.218,23.0,14.692307692307692
896,245.495,0.0,12.6
896,245.495,1.0,16.615384615384617
896,245.495,2.0,13.5
896,245.495,3.0,14.714285714285714
896,245.495,4.0,14.666666666666666
896,245.495,5.0,15.666666666666666
896,245.495,6.0,16.285714285714285
896,245.495,7.0,18.0
896,245.495,8.0,13.5
896,245.495,9.0,12.25
896,245.495,10.0,12.6
896,245.495,11.0,13.2
896,245.495,12.0,20.0
896,245.495,13.0,12.428571428571429
896,245.495,14.0,11.25
896,245.495,15.0,14.214285714285714
896,245.495,16.0,15.555555555555555
896,245.495,17.0,12.357142857142858
896,245.495,18.0,14.157894736842104
896,245.495,19.0,13.714285714285714
896,245.495,20.0,12.2
896,245.495,21.0,13.411764705882353
896,245.495,22.0,15.083333333333334
896,245.495,23.0,14.090909090909092
897,186.593,0.0,12.25
897,186.593,1.0,12.0
897,186.593,2.0,14.5
897,186.593,3.0,16.5
897,186.593,4.0,13.0
897,186.593,5.0,
897,186.593,6.0,17.5
897,186.593,7.0,8.0
897,186.593,8.0,13.333333333333334
897,186.593,9.0,16.0
897,186.593,10.0,14.142857142857142
897,186.593,11.0,11.875
897,186.593,12.0,15.666666666666666
897,186.593,13.0,12.0
897,186.593,14.0,11.4
897,186.593,15.0,11.818181818181818
897,186.593,16.0,14.0
897,186.593,17.0,12.0
897,186.593,18.0,13.444444444444445
897,186.593,19.0,15.9
897,186.593,20.0,12.5
897,186.593,21.0,11.846153846153847
897,186.593,22.0,13.238095238095237
897,186.593,23.0,13.25
898,54.694,0.0,25.0
898,54.694,1.0,15.666666666666666
898,54.694,2.0,14.0
898,54.694,3.0,
898,54.694,4.0,16.0
898,54.694,5.0,
898,54.694,6.0,
898,54.694,7.0,16.5
898,54.694,8.0,26.0
898,54.694,9.0,31.0
898,54.694,10.0,
898,54.694,11.0,29.666666666666668
898,54.694,12.0,24.0
898,54.694,13.0,11.0
898,54.694,14.0,34.0
898,54.694,15.0,11.0
898,54.694,16.0,10.0
898,54.694,17.0,12.0
898,54.694,18.0,14.0
898,54.694,19.0,14.5
898,54.694,20.0,
898,54.694,21.0,15.0
898,54.694,22.0,
898,54.694,23.0,30.0
899,44.065,9.0,
899,44.065,10.0,21.0
899,44.065,16.0,
899,44.065,20.0,
899,44.065,23.0,32.0
900,355.938,9.0,44.0
900,355.938,16.0,21.0
900,355.938,20.0,23.0
900,355.938,23.0,17.0
901,60.701,9.0,
901,60.701,16.0,
901,60.701,23.0,
902,18.195,9.0,
902,18.195,16.0,11.0
902,18.195,23.0,
1374,158.704,0.0,20.137931034482758
1374,158.704,1.0,20.033898305084747
1374,158.704,2.0,21.068181818181817
1374,158.704,3.0,20.19047619047619
1374,158.704,4.0,19.64864864864865
1374,158.704,5.0,20.56756756756757
1374,158.704,6.0,21.15
1374,158.704,7.0,21.153846153846153
1374,158.704,8.0,22.125
1374,158.704,9.0,22.228070175438596
1374,158.704,10.0,22.434782608695652
1374,158.704,11.0,21.416666666666668
1374,158.704,12.0,22.40909090909091
1374,158.704,13.0,22.865384615384617
1374,158.704,14.0,21.26923076923077
1374,158.704,15.0,22.375
1374,158.704,16.0,21.788732394366196
1374,158.704,17.0,22.107142857142858
1374,158.704,18.0,20.849557522123895
1374,158.704,19.0,21.527027027027028
1374,158.704,20.0,20.96511627906977
1374,158.704,21.0,20.979166666666668
1374,158.704,22.0,21.04705882352941
1374,158.704,23.0,20.861538461538462
1375,148.101,0.0,18.23076923076923
1375,148.101,1.0,20.88888888888889
1375,148.101,2.0,19.0
1375,148.101,3.0,26.0
1375,148.101,4.0,17.833333333333332
1375,148.101,5.0,22.666666666666668
1375,148.101,6.0,19.375
1375,148.101,7.0,18.818181818181817
1375,148.101,8.0,19.666666666666668
1375,148.101,9.0,21.818181818181817
1375,148.101,10.0,25.166666666666668
1375,148.101,11.0,21.444444444444443
1375,148.101,12.0,31.75
1375,148.101,13.0,23.25
1375,148.101,14.0,27.0
1375,148.101,15.0,20.181818181818183
1375,148.101,16.0,22.545454545454547
1375,148.101,17.0,20.714285714285715
1375,148.101,18.0,21.5
1375,148.101,19.0,20.727272727272727
1375,148.101,20.0,19.625
1375,148.101,21.0,22.928571428571427
1375,148.101,22.0,29.2
1375,148.101,23.0,23.666666666666668
1376,89.923,0.0,18.822222222222223
1376,89.923,1.0,19.568181818181817
1376,89.923,2.0,19.272727272727273
1376,89.923,3.0,19.897435897435898
1376,89.923,4.0,20.517241379310345
1376,89.923,5.0,19.84
1376,89.923,6.0,20.6
1376,89.923,7.0,20.6
1376,89.923,8.0,22.652173913043477
1376,89.923,9.0,20.2
1376,89.923,10.0,21.142857142857142
1376,89.923,11.0,20.17241379310345
1376,89.923,12.0,21.533333333333335
1376,89.923,13.0,21.675675675675677
1376,89.923,14.0,20.0
1376,89.923,15.0,19.813953488372093
1376,89.923,16.0,20.39622641509434
1376,89.923,17.0,21.112903225806452
1376,89.923,18.0,19.883116883116884
1376,89.923,19.0,20.571428571428573
1376,89.923,20.0,20.746031746031747
1376,89.923,21.0,21.208955223880597
1376,89.923,22.0,20.149253731343283
1376,89.923,23.0,21.08695652173913
1377,76.577,0.0,21.5
1377,76.577,1.0,18.125
1377,76.577,2.0,20.142857142857142
1377,76.577,3.0,20.333333333333332
1377,76.577,4.0,19.666666666666668
1377,76.577,5.0,21.2
1377,76.577,6.0,21.4
1377,76.577,7.0,23.3
1377,76.577,8.0,20.428571428571427
1377,76.577,9.0,18.2
1377,76.577,10.0,19.583333333333332
1377,76.577,11.0,20.444444444444443
1377,76.577,12.0,18.5
1377,76.577,13.0,21.5
1377,76.577,14.0,20.4
1377,76.577,15.0,19.2
1377,76.577,16.0,20.444444444444443
1377,76.577,17.0,19.5
1377,76.577,18.0,21.272727272727273
1377,76.577,19.0,17.94736842105263
1377,76.577,20.0,19.9
1377,76.577,21.0,19.823529411764707
1377,76.577,22.0,19.272727272727273
1377,76.577,23.0,19.5
1378,71.495,0.0,19.0
1378,71.495,1.0,23.0
1378,71.495,2.0,15.0
1378,71.495,3.0,19.0
1378,71.495,4.0,19.333333333333332
1378,71.495,5.0,21.5
1378,71.495,6.0,24.0
1378,71.495,7.0,20.0
1378,71.495,8.0,17.0
1378,71.495,9.0,17.875
1378,71.495,10.0,18.857142857142858
1378,71.495,11.0,19.666666666666668
1378,71.495,12.0,15.666666666666666
1378,71.495,13.0,18.25
1378,71.495,14.0,20.5
1378,71.495,15.0,19.166666666666668
1378,71.495,16.0,37.54545454545455
1378,71.495,17.0,19.333333333333332
1378,71.495,18.0,20.22222222222222
1378,71.495,19.0,18.0
1378,71.495,20.0,22.0
1378,71.495,21.0,20.0
1378,71.495,22.0,18.333333333333332
1378,71.495,23.0,19.4
1379,23.913,0.0,19.043478260869566
1379,23.913,1.0,18.272727272727273
1379,23.913,2.0,17.727272727272727
1379,23.913,3.0,18.22222222222222
1379,23.913,4.0,20.0
1379,23.913,5.0,19.0
1379,23.913,6.0,18.142857142857142
1379,23.913,7.0,21.25
1379,23.913,8.0,19.142857142857142
1379,23.913,9.0,20.352941176470587
1379,23.913,10.0,20.22222222222222
1379,23.913,11.0,20.76923076923077
1379,23.913,12.0,22.6
1379,23.913,13.0,21.272727272727273
1379,23.913,14.0,19.866666666666667
1379,23.913,15.0,21.11764705882353
1379,23.913,16.0,20.0
1379,23.913,17.0,21.25
1379,23.913,18.0,19.3125
1379,23.913,19.0,18.142857142857142
1379,23.913,20.0,19.45
1379,23.913,21.0,19.866666666666667
1379,23.913,22.0,19.076923076923077
1379,23.913,23.0,17.333333333333332
1380,44.63,0.0,
1380,44.63,1.0,18.25
1380,44.63,2.0,17.0
1380,44.63,3.0,36.0
1380,44.63,4.0,18.0
1380,44.63,5.0,18.25
1380,44.63,6.0,18.8
1380,44.63,7.0,22.5
1380,44.63,8.0,
1380,44.63,9.0,17.666666666666668
1380,44.63,10.0,19.0
1380,44.63,11.0,19.333333333333332
1380,44.63,12.0,
1380,44.63,13.0,18.0
1380,44.63,14.0,
1380,44.63,15.0,19.0
1380,44.63,16.0,22.0
1380,44.63,17.0,17.5
1380,44.63,18.0,19.75
1380,44.63,19.0,16.0
1380,44.63,20.0,15.5
1380,44.63,21.0,18.4
1380,44.63,22.0,17.666666666666668
1380,44.63,23.0,19.333333333333332
1381,33.163,0.0,15.0
