,EdgeID,Length(m)(poly),from_node,to_node,weight
10,865,103.82600000000001,2505,2506,"[2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186, 2.8935185185185186]"
11,868,285.639,2499,2509,"[10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889, 10.13888889]"
12,869,158.311,2510,145741,"[2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 3.888888889, 3.888888889, 3.888888889]"
13,870,43.751000000000005,145741,145742,"[7.222222222, 7.222222222, 7.222222222, 7.222222222, 7.222222222, 7.222222222, 7.222222222, 7.222222222, 7.222222222, 7.222222222, 7.222222222, 7.222222222, 7.222222222, 7.222222222, 7.222222222, 5.70473251, 5.70473251, 5.70473251, 5.70473251, 5.70473251, 5.70473251, 1.944444444, 1.944444444, 1.944444444]"
14,875,150.537,2509,2510,"[2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 2.6543209880000003, 5.833333333, 5.833333333, 5.833333333]"
15,876,12.194,2503,87442,"[5.7788177670000005, 5.7788177670000005, 5.7788177670000005, 5.7788177670000005, 5.7788177670000005, 5.7788177670000005, 5.7788177670000005, 5.7788177670000005, 5.7788177670000005, 5.7788177670000005, 6.635802469135803, 6.635802469135803, 6.635802469135803, 6.635802469135803, 6.635802469135803, 6.635802469135803, 9.553872054, 6.157407407000001, 6.813973064, 6.813973064, 6.813973064, 6.813973064, 6.813973064, 6.813973064]"
16,877,55.773999999999994,87442,277502,"[6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642, 6.21141975308642]"
17,877,55.773999999999994,87442,277502,"[5.733695652000001, 5.733695652000001, 5.733695652000001, 5.733695652000001, 5.733695652000001, 5.733695652000001, 5.733695652000001, 5.733695652000001, 5.733695652000001, 5.733695652000001, 5.733695652000001, 5.733695652000001, 5.733695652000001, 5.733695652000001, 5.733695652000001, 5.733695652000001, 9.53030303, 9.53030303, 5.5018939395, 5.5018939395, 5.5018939395, 5.5018939395, 5.5018939395, 5.5018939395]"
18,878,27.04,145746,277502,"[5.688573537000001, 5.688573537000001, 5.688573537000001, 5.688573537000001, 5.688573537000001, 5.688573537000001, 5.688573537000001, 5.688573537000001, 5.688573537000001, 5.688573537000001, 5.787037037037037, 5.787037037037037, 5.787037037037037, 5.787037037037037, 5.787037037037037, 5.787037037037037, 9.506734007, 9.506734007, 5.7133838385, 5.7133838385, 5.7133838385, 5.7133838385, 5.7133838385, 5.7133838385]"
19,879,39.705,2504,145746,"[5.643451422, 5.643451422, 5.643451422, 5.643451422, 5.643451422, 5.643451422, 5.643451422, 5.643451422, 5.643451422, 5.643451422, 5.063657407407407, 5.063657407407407, 5.063657407407407, 5.063657407407407, 5.063657407407407, 5.063657407407407, 9.483164983, 9.483164983, 5.9248737375000005, 5.9248737375000005, 5.9248737375000005, 5.9248737375000005, 5.9248737375000005, 5.9248737375000005]"
20,880,103.791,2504,189221,"[5.598329307999999, 5.598329307999999, 5.598329307999999, 5.598329307999999, 5.598329307999999, 5.598329307999999, 5.598329307999999, 5.598329307999999, 5.598329307999999, 5.598329307999999, 4.3402777777777795, 4.3402777777777795, 4.3402777777777795, 4.3402777777777795, 4.3402777777777795, 4.3402777777777795, 9.45959596, 9.45959596, 6.1363636365, 6.1363636365, 6.1363636365, 6.1363636365, 6.1363636365, 6.1363636365]"
21,881,11.959000000000001,2505,189221,"[5.553207193, 5.553207193, 5.553207193, 5.553207193, 5.553207193, 5.553207193, 5.553207193, 5.553207193, 5.553207193, 5.553207193, 5.553207193, 5.553207193, 5.553207193, 5.553207193, 5.553207193, 5.553207193, 9.436026936000001, 9.436026936000001, 6.3478535355000005, 6.3478535355000005, 6.3478535355000005, 6.3478535355000005, 6.3478535355000005, 6.3478535355000005]"
22,881,11.959000000000001,2505,189221,"[3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149, 3.616898148148149]"
23,882,37.621,2515,26181,"[7.361111111, 7.361111111, 7.361111111, 5.46875, 7.75462963, 7.75462963, 7.75462963, 3.1592935530000004, 4.895833333, 10.65972222, 6.0520741475, 5.653821281600001, 5.653821281600001, 5.653821281600001, 5.653821281600001, 5.37037037, 5.37037037, 4.975308642, 4.975308642, 5.287698413, 8.281249999, 4.283165234, 4.283165234, 4.283165234]"
24,883,28.384,2490,2514,"[5.868055556, 5.868055556, 5.868055556, 5.868055556, 5.868055556, 5.868055556, 4.320436508214286, 3.9907407406666664, 5.9259259260000015, 5.9259259260000015, 7.6851851855, 3.981481481, 3.981481481, 3.109567901, 3.8209876543333334, 3.8209876543333334, 4.382716049, 4.382716049, 6.3653549374, 3.0370370369999997, 16.08024691, 3.4629629625, 3.888888889, 2.444444444]"
25,884,125.75399999999999,106668,145614,"[19.412037037037038, 17.350694444444443, 18.324074074074076, 15.583333333333336, 15.5, 18.030864197530864, 15.185185185185185, 18.807870370370374, 18.807870370370374, 15.553240740740742, 20.018518518518515, 16.386574074074076, 20.453703703703706, 15.840277777777777, 16.173611111111114, 17.546296296296294, 16.15162037037037, 18.144444444444446, 16.243055555555557, 18.01280663780664, 18.12533068783069, 17.131944444444446, 17.46203703703704, 17.30555555555555]"
