,plate,movement_id
457,580IZ,6255
458,580IZ,6581
459,580IZ,6629
460,580IZ,6707
461,580IZ,7206
462,580IZ,7215
463,580IZ,7398
464,580IZ,7477
465,580IZ,7825
466,580IZ,7906
467,580IZ,8073
468,580IZ,8095
469,580IZ,8290
470,580IZ,8444
471,580IZ,8660
472,580IZ,8785
473,580IZ,9048
474,580IZ,9050
475,580IZ,9069
476,580IZ,9128
477,580IZ,9370
478,580IZ,9413
479,580IZ,9751
480,580IZ,10230
481,580IZ,10365
482,580IZ,10527
483,580IZ,10622
484,580IZ,10864
485,580IZ,10911
486,580IZ,11840
487,580IZ,11864
488,580IZ,12057
489,580IZ,12312
490,580IZ,12593
491,580IZ,12674
492,580IZ,13185
493,624KK,572
494,624KK,869
495,624KK,1071
496,624KK,1083
497,624KK,1128
498,624KK,1156
499,624KK,1398
500,624KK,1559
501,624KK,1963
502,624KK,1987
503,624KK,2096
504,624KK,2301
505,624KK,2503
506,624KK,2640
507,624KK,3033
508,624KK,3036
509,624KK,3131
510,624KK,3436
511,624KK,3578
512,624KK,3804
513,624KK,3911
514,624KK,4405
515,624KK,4457
516,624KK,4481
517,624KK,4581
518,624KK,4743
519,624KK,4831
520,624KK,4859
521,624KK,4871
522,624KK,5081
523,624KK,5151
524,624KK,5183
525,624KK,5981
526,624KK,6091
527,624KK,6197
528,624KK,6204
529,624KK,6206
530,624KK,6237
531,624KK,6401
532,624KK,6424
533,624KK,6541
534,624KK,6834
535,624KK,7026
536,624KK,7028
537,624KK,7033
538,624KK,7035
539,624KK,7160
540,624KK,7420
541,624KK,7423
542,624KK,7607
543,624KK,7899
544,624KK,7949
545,624KK,8042
546,624KK,8089
547,724HU,521
548,724HU,1760
549,724HU,1844
550,724HU,1871
551,724HU,1873
552,724HU,2261
553,724HU,2431
554,724HU,2526
555,724HU,2593
556,724HU,3019
557,724HU,3282
558,724HU,3305
559,724HU,3433
560,724HU,3798
561,724HU,4304
562,724HU,5014
563,724HU,5628
564,761GV,341
565,761GV,660
566,761GV,736
567,761GV,841
568,761GV,1226
569,761GV,1270
570,761GV,1338
571,761GV,1404
572,761GV,1671
573,761GV,1697
574,761GV,1808
575,761GV,1972
576,761GV,2031
577,761GV,2203
578,761GV,2379
579,761GV,2396
580,796ES,243
581,796ES,704
582,796ES,1267
583,796ES,1292
584,796ES,1979
585,796ES,2714
586,796ES,2825
587,796ES,2934
588,796ES,3257
589,796ES,3358
590,796ES,4341
591,796ES,4495
592,796ES,4756
593,796ES,5243
594,796ES,5797
595,853KK,233
596,853KK,883
597,853KK,928
598,853KK,1057
599,853KK,1402
600,853KK,1528
601,853KK,1850
602,853KK,1889
603,853KK,1966
604,853KK,1971
605,853KK,2401
606,853KK,2518
607,853KK,4736
608,853KK,4817
609,853KK,4977
610,853KK,5208
611,853KK,5437
612,853KK,5523
613,853KK,5739
614,853KK,6510
615,853KK,7322
616,853KK,7340
617,853KK,7828
618,853KK,8508
619,853KK,8695
620,853KK,8720
621,853KK,9110
622,853KK,9126
623,853KK,9171
624,853KK,9252
625,853KK,9330
626,853KK,9445
627,853KK,9948
628,853KK,10289
629,853KK,10302
630,853KK,10431
631,853KK,10701
632,853KK,11094
633,853KK,11433
634,853KK,11807
635,853KK,11842
636,853KK,12538
637,853KK,13221
638,992JH,181
639,992JH,682
640,992JH,864
641,992JH,1033
642,992JH,1166
643,992JH,1880
644,992JH,1957
645,992JH,2096
646,992JH,2763
647,992JH,3057
648,992JH,3417
649,992JH,3810
650,992JH,4548
651,992JH,5358
652,992JH,5623
653,992JH,5806
654,992JH,6077
655,992JH,6180
656,992JH,6884
657,992JH,7222
658,992JH,7235
659,992JH,7400
660,992JH,7509
661,992JH,7544
662,992JH,7552
663,992JH,7651
664,992JH,7967
665,992JH,8092
666,992JH,8438
667,992JH,8723
668,992JH,9070
669,992JH,9389
670,992JH,9802
671,992JH,9812
672,992JH,10392
673,992JH,10410
674,992JH,10495
675,992JH,10853
676,992JH,10855
677,992JH,10948
678,992JH,11299
679,992JH,11504
680,992JH,11631
681,992JH,11858
682,992JH,12212
683,992JH,12615
684,992JH,13860
685,992JH,16558
686,992JH,18640
687,992JH,19162
688,992JH,20266
689,992JH,20369
690,992JH,21902
691,992JH,22102
692,992JH,22787
693,992JH,22901
694,992JH,23106
695,992JH,23501
