,Unnamed: 0,EdgeID,Length(m)(poly),weight,data avail,from_node,from_lat,from_lon,to_node,to_lat,to_lon
10,10,869,158.311,"[36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635, 36.11249943403635]",2,2510,49.41906779,18.68448001,145741,49.42046999,18.68413412
11,11,870,43.751,"[9.98008958782728, 9.98008958782728, 9.98008958782728, 9.98008958782728, 9.98008958782728, 9.98008958782728, 9.98008958782728, 9.98008958782728, 9.98008958782728, 9.98008958782728, 9.98008958782728, 9.98008958782728, 9.98008958782728, 9.98008958782728, 9.98008958782728, 9.98008958782728, 9.98008958782728, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0]",2,145741,49.42046999,18.68413412,145742,49.42085779,18.68403186
12,12,874,92.893,"[21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443, 21.18992622070443]",3,2508,49.41970369,18.68769624,2509,49.41945969,18.68646801
13,13,875,150.537,"[36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 28.0, 28.0, 28.0, 28.0, 28.0, 28.0, 28.0]",2,2509,49.41945969,18.68646801,2510,49.41906779,18.68448001
14,14,876,12.194,"[2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018, 2.7815869907880018]",5,2503,49.42394233,18.69519432,87442,49.42384882,18.69528242
15,15,877,55.774,"[12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632, 12.72266957718632]",4,87442,49.42384882,18.69528242,277502,49.42337981,18.69555549
16,16,878,27.04,"[6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096, 6.168124670404096]",4,145746,49.42315424,18.69569518,277502,49.42337981,18.69555549
17,17,879,39.705,"[9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134, 9.05715199846134]",4,2504,49.42282307,18.69590045,145746,49.42315424,18.69569518
18,18,880,103.791,"[23.67588120066241, 23.67588120066241, 23.67588120066241, 23.67588120066241, 23.67588120066241, 23.67588120066241, 23.67588120066241, 23.67588120066241, 23.67588120066241, 23.67588120066241, 23.67588120066241, 23.67588120066241, 23.67588120066241, 23.67588120066241, 32.0, 32.0, 32.0, 23.67588120066241, 23.67588120066241, 23.67588120066241, 23.67588120066241, 23.67588120066241, 23.67588120066241, 23.67588120066241]",4,2504,49.42282307,18.69590045,189221,49.42193123,18.69632401
19,19,881,11.959,"[2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114, 2.727980877713114]",4,2505,49.42182897,18.69637524,189221,49.42193123,18.69632401
