,Unnamed: 0,EdgeID,Length(m)(poly),weight,data avail,from_node,from_lat,from_lon,to_node,to_lat,to_lon
34,34,896,245.495,"[12.6, 16.615384615384617, 13.5, 14.714285714285714, 14.666666666666666, 15.666666666666666, 16.285714285714285, 18.0, 13.5, 12.25, 12.6, 13.2, 20.0, 12.428571428571429, 11.25, 14.214285714285714, 15.555555555555555, 12.357142857142858, 14.157894736842104, 13.714285714285714, 12.2, 13.411764705882351, 15.083333333333334, 14.090909090909092]",24,145376,49.39510132,18.61825869,145597,49.39384888,18.61549788
35,35,897,186.593,"[12.25, 12.0, 14.5, 16.5, 13.0, 16.252716414433262, 17.5, 8.0, 13.333333333333334, 16.0, 14.142857142857142, 11.875, 15.666666666666666, 12.0, 11.4, 11.818181818181818, 14.0, 12.0, 13.444444444444445, 15.9, 12.5, 11.846153846153848, 13.238095238095235, 13.25]",24,145376,49.39510132,18.61825869,145378,49.39647856,18.61972217
36,36,898,54.694,"[25.0, 15.666666666666666, 14.0, 4.763984027112555, 16.0, 4.763984027112555, 4.763984027112555, 16.5, 26.0, 31.0, 4.763984027112555, 29.666666666666668, 24.0, 11.0, 34.0, 11.0, 10.0, 12.0, 14.0, 14.5, 4.763984027112555, 15.0, 4.763984027112555, 30.0]",24,2487,49.39691665,18.62006583,145378,49.39647856,18.61972217
37,37,899,44.065,"[4.760129642217766, 4.760129642217766, 4.760129642217766, 4.760129642217766, 4.760129642217766, 4.760129642217766, 4.760129642217766, 4.760129642217766, 4.760129642217766, 4.760129642217766, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 4.760129642217766, 4.760129642217766, 4.760129642217766, 4.760129642217766, 4.760129642217766, 4.760129642217766, 4.760129642217766, 32.0]",5,2500,49.42254423,18.68608822,259494,49.42257105,18.6855542
38,38,900,355.938,"[44.0, 44.0, 44.0, 44.0, 44.0, 44.0, 44.0, 44.0, 44.0, 44.0, 44.0, 44.0, 44.0, 44.0, 44.0, 44.0, 21.0, 21.0, 21.0, 21.0, 23.0, 23.0, 23.0, 17.0]",4,2530,49.42171218,18.68091472,259494,49.42257105,18.6855542
39,39,901,60.701,"[6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561, 6.557236568983561]",3,2530,49.42171218,18.68091472,87452,49.42201989,18.68022368
40,40,902,18.195,"[1.9655181854113757, 1.9655181854113757, 1.9655181854113757, 1.9655181854113757, 1.9655181854113757, 1.9655181854113757, 1.9655181854113757, 1.9655181854113757, 1.9655181854113757, 1.9655181854113757, 1.9655181854113757, 1.9655181854113757, 1.9655181854113757, 1.9655181854113757, 1.9655181854113757, 1.9655181854113757, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 1.9655181854113757]",3,87452,49.42201989,18.68022368,144155,49.42212588,18.68003202
41,41,1374,158.704,"[20.13793103448276, 20.033898305084747, 21.068181818181817, 20.19047619047619, 19.64864864864865, 20.56756756756757, 21.15, 21.15384615384616, 22.125, 22.2280701754386, 22.43478260869565, 21.416666666666668, 22.40909090909091, 22.865384615384617, 21.26923076923077, 22.375, 21.7887323943662, 22.107142857142858, 20.84955752212389, 21.527027027027028, 20.96511627906977, 20.979166666666668, 21.04705882352941, 20.861538461538466]",24,2520,49.43702164,18.72469601,142799,49.43826253,18.72532335
42,42,1375,148.101,"[18.23076923076923, 20.88888888888889, 19.0, 26.0, 17.833333333333332, 22.666666666666668, 19.375, 18.818181818181817, 19.666666666666668, 21.818181818181817, 25.166666666666668, 21.444444444444443, 31.75, 23.25, 27.0, 20.181818181818183, 22.545454545454547, 20.714285714285715, 21.5, 20.727272727272727, 19.625, 22.928571428571427, 29.2, 23.666666666666668]",24,142799,49.43826253,18.72532335,142801,49.43941197,18.72632862
43,43,1376,89.923,"[18.822222222222223, 19.568181818181817, 19.27272727272728, 19.89743589743589, 20.517241379310345, 19.84, 20.6, 20.6, 22.65217391304348, 20.2, 21.142857142857142, 20.17241379310345, 21.53333333333333, 21.67567567567568, 20.0, 19.813953488372093, 20.39622641509434, 21.11290322580645, 19.883116883116884, 20.571428571428573, 20.746031746031747, 21.2089552238806, 20.149253731343283, 21.08695652173913]",24,142801,49.43941197,18.72632862,142802,49.43980927,18.7274097
44,44,1377,76.577,"[21.5, 18.125, 20.142857142857142, 20.33333333333333, 19.666666666666668, 21.2, 21.4, 23.3, 20.428571428571427, 18.2, 19.58333333333333, 20.444444444444443, 18.5, 21.5, 20.4, 19.2, 20.444444444444443, 19.5, 21.27272727272728, 17.94736842105263, 19.9, 19.823529411764707, 19.27272727272728, 19.5]",24,142802,49.43980927,18.7274097,142804,49.44009593,18.72837269
45,45,1378,71.495,"[19.0, 23.0, 15.0, 19.0, 19.33333333333333, 21.5, 24.0, 20.0, 17.0, 17.875, 18.857142857142858, 19.666666666666668, 15.666666666666666, 18.25, 20.5, 19.166666666666668, 37.54545454545455, 19.33333333333333, 20.22222222222222, 18.0, 22.0, 20.0, 18.33333333333333, 19.4]",24,2521,49.4403541,18.72927831,142804,49.44009593,18.72837269
46,46,1379,23.913,"[19.043478260869566, 18.27272727272728, 17.727272727272727, 18.22222222222222, 20.0, 19.0, 18.142857142857142, 21.25, 19.142857142857142, 20.352941176470587, 20.22222222222222, 20.76923076923077, 22.6, 21.27272727272728, 19.866666666666667, 21.11764705882353, 20.0, 21.25, 19.3125, 18.142857142857142, 19.45, 19.866666666666667, 19.07692307692308, 17.333333333333332]",24,2521,49.4403541,18.72927831,142805,49.44047126,18.72955565
47,47,1380,44.63,"[3.887384486964444, 18.25, 17.0, 36.0, 18.0, 18.25, 18.8, 22.5, 3.887384486964444, 17.666666666666668, 19.0, 19.33333333333333, 3.887384486964444, 18.0, 3.887384486964444, 19.0, 22.0, 17.5, 19.75, 16.0, 15.5, 18.4, 17.666666666666668, 19.33333333333333]",24,2522,49.44075307,18.72999058,142805,49.44047126,18.72955565
48,48,1381,33.163,"[15.0, 2.8885801420838417, 2.8885801420838417, 15.0, 2.8885801420838417, 2.8885801420838417, 2.8885801420838417, 2.8885801420838417, 2.8885801420838417, 2.8885801420838417, 16.0, 2.8885801420838417, 21.0, 2.8885801420838417, 2.8885801420838417, 22.0, 19.0, 24.0, 19.0, 16.0, 19.0, 2.8885801420838417, 19.0, 2.8885801420838417]",24,2522,49.44075307,18.72999058,145919,49.44101794,18.73020143
49,49,1382,45.485,"[20.782608695652176, 21.142857142857142, 21.55, 21.266666666666666, 21.36842105263158, 22.38888888888889, 21.94736842105263, 25.8125, 23.94117647058824, 22.681818181818183, 22.416666666666668, 25.91304347826087, 22.39130434782609, 22.90909090909091, 22.26923076923077, 24.83333333333333, 22.0, 23.157894736842103, 22.244444444444444, 21.789473684210527, 21.681818181818183, 21.88636363636364, 21.725, 21.387096774193548]",24,142787,49.44134335,18.73057396,145919,49.44101794,18.73020143
50,50,1383,236.086,"[18.714285714285715, 17.606060606060606, 17.416666666666668, 21.517241379310345, 19.1, 17.857142857142858, 19.84, 26.88888888888889, 31.529411764705884, 23.475, 27.142857142857142, 32.86206896551724, 37.38461538461539, 28.34285714285714, 38.833333333333336, 32.14634146341464, 26.0, 27.77551020408164, 21.08, 23.743589743589745, 19.33333333333333, 19.27777777777778, 21.75925925925926, 20.27027027027027]",24,142787,49.44134335,18.73057396,142788,49.44227784,18.73338656
51,51,1384,51.248,"[18.0, 15.0, 15.0, 4.463828818910011, 14.0, 4.463828818910011, 13.5, 15.0, 4.463828818910011, 4.463828818910011, 4.463828818910011, 15.0, 4.463828818910011, 4.463828818910011, 14.0, 15.0, 18.0, 4.463828818910011, 15.75, 13.5, 16.75, 16.0, 13.0, 4.463828818910011]",24,2489,49.40514284,18.62135944,255522,49.40553735,18.62172563
52,52,1385,375.486,"[26.571428571428573, 23.53846153846154, 22.166666666666668, 23.0, 19.142857142857142, 22.666666666666668, 27.714285714285715, 29.5, 26.8, 31.6, 27.33333333333333, 39.75, 34.75, 31.4, 29.0, 30.45, 30.857142857142858, 26.73333333333333, 28.63636363636364, 21.1, 29.526315789473685, 31.0, 26.428571428571427, 26.285714285714285]",24,145145,49.40730779,18.62603877,255522,49.40553735,18.62172563
53,53,1386,321.856,"[61.4, 85.35714285714286, 57.6, 39.16666666666666, 54.55555555555556, 51.75, 55.75, 46.25, 37.333333333333336, 104.0, 65.0, 43.375, 65.75, 90.75, 63.0, 41.06666666666667, 26.444444444444443, 71.5, 36.19047619047619, 39.5, 27.68421052631579, 25.928571428571427, 28.08333333333333, 26.23809523809524]",24,146408,49.37192461,18.48714095,146412,49.37126505,18.48283582
54,54,1387,62.128,"[5.411503997448509, 12.5, 5.411503997448509, 12.0, 10.75, 5.411503997448509, 19.5, 14.0, 14.0, 12.0, 12.5, 11.0, 10.0, 9.0, 13.0, 16.25, 12.2, 12.0, 13.6, 15.0, 15.166666666666666, 11.0, 14.555555555555555, 18.5]",24,146408,49.37192461,18.48714095,146409,49.37207008,18.48796387
55,55,1388,70.12,"[6.107627161683774, 11.0, 20.0, 12.666666666666666, 10.666666666666666, 9.0, 6.107627161683774, 6.107627161683774, 6.107627161683774, 6.107627161683774, 14.5, 16.5, 17.333333333333332, 6.107627161683774, 11.0, 17.0, 14.75, 18.0, 11.0, 13.428571428571429, 15.25, 14.333333333333334, 14.25, 11.0]",24,146409,49.37207008,18.48796387,146410,49.37230776,18.48886092
56,56,1389,93.658,"[11.6, 11.666666666666666, 12.5, 14.5, 14.666666666666666, 17.5, 18.0, 11.0, 13.0, 11.0, 13.2, 11.666666666666666, 11.333333333333334, 11.75, 16.0, 11.333333333333334, 10.666666666666666, 17.5, 12.090909090909092, 14.166666666666666, 14.571428571428571, 14.0, 12.0, 11.75]",24,146410,49.37230776,18.48886092,146411,49.37270003,18.49000328
57,57,1390,20.053,"[1.746666392944163, 9.0, 1.746666392944163, 1.746666392944163, 13.666666666666666, 1.746666392944163, 1.746666392944163, 1.746666392944163, 10.0, 1.746666392944163, 12.0, 20.0, 1.746666392944163, 1.746666392944163, 10.5, 12.5, 12.5, 12.2, 11.0, 21.0, 16.333333333333332, 17.0, 13.0, 12.0]",24,146404,49.37279223,18.49024132,146411,49.37270003,18.49000328
58,58,1391,76.437,"[6.657853641723083, 16.8, 6.657853641723083, 19.0, 14.0, 6.657853641723083, 11.0, 12.0, 12.0, 12.0, 17.0, 13.0, 14.5, 6.657853641723083, 10.5, 10.75, 11.0, 18.0, 12.75, 11.666666666666666, 15.4, 12.0, 15.75, 10.6]",24,146404,49.37279223,18.49024132,146423,49.37314595,18.49114657
59,59,1392,12.946,"[1.127628939463179, 1.127628939463179, 1.127628939463179, 1.127628939463179, 1.127628939463179, 10.0, 1.127628939463179, 1.127628939463179, 1.127628939463179, 1.127628939463179, 1.127628939463179, 1.127628939463179, 1.127628939463179, 1.127628939463179, 1.127628939463179, 1.127628939463179, 1.127628939463179, 1.127628939463179, 1.127628939463179, 11.0, 1.127628939463179, 1.127628939463179, 1.127628939463179, 14.5]",24,146423,49.37314595,18.49114657,186928,49.37320425,18.49130135
60,60,1393,603.298,"[14.857142857142858, 16.7, 15.77777777777778, 13.083333333333334, 15.461538461538462, 13.571428571428571, 18.0, 20.3, 13.833333333333334, 18.8, 15.583333333333334, 12.625, 22.58333333333333, 17.636363636363637, 15.4, 18.0, 18.75, 12.78125, 16.5, 17.59259259259259, 21.375, 14.956521739130435, 19.0, 16.714285714285715]",24,2902,49.43371544,18.8007819,73420,49.43205415,18.80844277
61,61,1394,23.275,"[39.42857142857143, 34.833333333333336, 40.4, 39.25, 44.0, 41.5, 41.0, 33.666666666666664, 42.0, 35.125, 41.333333333333336, 24.5, 45.5, 29.0, 39.0, 39.333333333333336, 40.36363636363637, 39.41176470588236, 43.16666666666666, 37.66666666666666, 38.16666666666666, 41.142857142857146, 37.16666666666666, 42.16666666666666]",24,73420,49.43205415,18.80844277,286390,49.43202863,18.80876222
62,62,1395,18.065,"[37.208333333333336, 33.13333333333333, 35.76470588235294, 36.90909090909091, 33.27777777777778, 38.90909090909091, 42.13333333333333, 39.833333333333336, 40.55555555555556, 36.9, 41.8, 42.1, 42.375, 37.36842105263158, 38.75, 39.629629629629626, 41.5, 39.1764705882353, 39.4, 38.81481481481482, 38.37931034482759, 38.76923076923077, 38.07407407407408, 36.526315789473685]",24,241169,49.43200591,18.80900958,286390,49.43202863,18.80876222
