,Time Error [s]
180,-432.52831308353325
181,-1440.6106115038397
182,-692.6504113831172
183,-1706.144559540959
184,-507.0629034790338
185,-560.8758745752839
186,-856.4198263438448
187,-630.9714376982035
188,-701.6504113831172
189,-954.3042302595181
190,-1333.4244054172386
191,-1179.4920007346595
192,-1144.0236309855402
193,-501.4714376982038
194,-1002.5060026261608
195,-612.9291657204917
196,-1171.3486681159375
197,-251.1716499956633
198,-457.56471789424586
199,-1056.8408128348347
200,17.087690784892857
201,-877.0823763223409
202,-672.9843860880928
203,-2056.027031195221
204,-596.0546043505165
205,-1352.072875344652
206,-419.4113430314635
207,-845.6040675062636
208,-1292.2701065980186
209,-1273.2444914521348
210,-724.8140273692472
211,-1037.5738996933937
212,-1390.9680538291077
213,-936.7699169015805
214,-1204.3309768488652
215,-1053.6388689607516
216,-1100.4192122877412
217,-712.1792097808104
218,-548.6949227477548
219,-1137.4388689607517
220,-1226.072875344652
221,-1648.0481015283672
222,-950.9885429070619
223,-1526.4100997639584
224,-881.4013562498048
225,-662.1850186029715
226,-329.5919082435714
227,-559.2969446860545
228,-1036.8482760223014
229,-1043.5142412012874
230,44.40644607090056
231,-492.18329597192064
232,-529.4499936845771
233,-762.272880110329
234,-734.9769395687131
235,-1388.0349437839618
236,-1951.2471069823296
237,-1163.0221648598376
238,40.02266937905347
239,-1343.2852781841839
240,-616.9296974052775
241,-1325.0963838615635
242,-669.1937905327961
243,-1439.394643823503
244,-1013.0444194335291
245,-1159.1266938374597
246,-520.07036034365
247,-700.2849816727719
248,-359.87733062094685
249,-1837.2471069823296
250,-478.69492274775484
251,-637.0211319045243
252,-905.1374081231738
253,-1155.453985877336
254,-1596.1286754089392
255,-1392.6266938374592
256,-1508.0321872003592
257,-450.44627604787684
258,-519.2095128111139
259,-1202.0321872003592
260,-587.6789666557329
261,-1632.9874803479465
262,-219.48273246794668
263,-1329.667600790668
264,-1200.984514684716
265,-1340.312605945971
266,-672.8552119352685
267,101.20849987660932
268,-287.4328149680614
269,-1050.0798591664443
270,-890.3908303404596
271,-1160.329328187417
272,-316.6815319927923
273,-958.0963838615635
274,-1361.797335216278
275,-464.29694468605453
276,-355.64399728761373
277,-570.9788210528395
278,-1124.3855061288941
279,-1665.5960880153484
280,-483.3845751411518
281,-172.22587104822014
282,-484.70076994571264
283,-127.84449342835023
284,-403.14596381481454
285,-841.3674503704922
286,182.50169101996244
287,-229.43506643609987
288,-1362.4690965951722
289,-275.0069966394932
290,-709.0280197883358
291,237.30307857133977
292,-492.6337488331976
293,-883.196434862891
294,-54.559142432114754
295,-1655.1072282489931
296,-508.69492274775484
297,-545.2095128111139
298,-746.1380337863716
299,-165.92004872386178
300,-514.3740229488592
301,-370.8018965213962
302,-243.74180763413767
303,-739.7523936332839
304,-452.7012544643917
305,-446.61006290488024
306,-1147.7992411514886
307,-1868.0720218958877
308,-455.4422846712014
309,-408.3108150030048
310,-728.0031238085198
311,-181.78253271319636
312,-1501.3652406980145
313,-1359.4115266852477
314,-1524.0763913047635
315,-621.6846983888026
316,-184.56931267805987
317,-1090.3429237659964
318,-184.56931267805987
319,-801.7676016516436
320,-304.055523241375
321,-726.1792097808104
322,-587.1670352003732
323,-547.6093591621527
324,-598.6789666557329
325,-804.6337646815634
326,-86.03125639784429
327,-42.12761975296411
328,-145.51974888390941
329,-311.4719990830615
330,-302.323232102729
331,-424.42411840424745
332,-247.63949532166055
333,-237.24687499450636
334,11.086543368505033
335,-1273.7784224879365
336,-366.6410619831264
337,-913.995642780475
338,-220.14187400717333
339,-369.78327548285404
340,-24.696921428660232
341,78.4847077041693
342,-1372.39798723099
343,-483.69850101856434
344,-765.3259581293178
345,-797.6337646815634
346,65.02870109808674
347,-1745.1337930989284
348,89.65293824812966
349,-710.5087656789321
350,92.47419574047214
351,-1242.5223434912205
352,-103.28019215387121
353,-1047.0069743947786
354,-252.21779771033067
355,-1863.5883849558936
356,-1532.2748147615252
357,-370.8445092696818
358,-1281.0521825261453
359,418.94490264555213
360,-168.50366803841843
361,-352.73499506883024
362,-628.4528611515402
363,-190.92467601915928
364,-512.4295843482575
365,-697.7013586674398
366,-348.6498405133035
367,-138.71612506104032
368,-1182.816841323993
369,-904.0297842284633
370,-734.6925712068305
371,-219.75134494872532
372,-943.0262354673141
373,-285.03674191821085
374,-1512.0131598610585
375,-192.3642425900378
376,-250.43366751274357
377,-621.501728160551
378,-1657.8030764891387
379,-326.5534822606742
380,-1039.9766290379728
381,-1108.2024806644656
382,-336.53391630956685
383,-429.49383703403976
384,-612.9806868170567
