,Time Error [s]
287,-1995.4875125917006
288,-441.1282499820427
289,76.48019053966294
290,-577.64822914769
291,-0.22911189617462924
292,-833.4869728979756
293,-322.2062382218123
294,-63.74681848338787
295,-508.7860298618168
296,-31.30615408846097
297,-1018.8731833369843
298,-459.20519744752323
299,-472.6364828610376
300,-1374.298679953487
301,-174.65995545604954
302,-679.5102914241993
303,476.6816093111081
304,-95.29646212504349
305,-75.17564477737051
306,-456.6111497244515
307,416.58474625628077
308,-403.4345475756926
309,-633.8619156915574
310,-811.6098061351322
311,-23.21964915189926
312,-73.13904427990673
313,-742.674393239869
314,801.4023128126416
315,-295.5048771745844
316,-677.4412194292236
317,-329.35517971836805
318,-1028.664719008751
319,-542.9826454688839
320,-2952.334626416042
321,-323.1728664063013
322,1212.0451711760766
323,288.55230657667414
324,-214.31125942536153
325,-128.24198360548047
326,-350.3379904026093
327,-451.4434072207914
328,-637.5500131365638
329,-348.2857835343349
330,909.3742067967313
331,-244.81846422860667
332,-131.6809911380999
333,-430.42462330553667
334,-340.1786916915611
335,366.7742167178221
336,-745.7668858919271
337,-565.4242663062057
338,-208.56706531831912
339,-48.19655343477052
340,-1624.7199688396054
341,-338.06878178222496
342,-664.5753020281834
343,-620.8657114716182
344,-702.2148867280844
345,-238.79297750044338
346,-156.07215883955013
347,-335.46357166976657
348,-823.3830689926751
349,-1818.247738516482
350,-254.05534119403637
351,-392.1677228857254
352,-620.2642324449771
353,-824.636123039104
354,720.2108771707713
355,916.1907971856608
356,265.75285667451186
357,-306.86856510894836
358,-186.50961333402552
359,-334.45295599728763
360,-10.859926759502287
361,-2691.107276578233
362,-250.63305736660493
363,-1801.1356267977835
364,-725.0164089400923
365,-468.5016344168844
366,-177.17142857142852
367,1004.0821209009384
368,-175.73155319337764
369,-547.8601598243499
370,-435.10387260644256
371,-1134.9281652131413
372,-482.55619960766785
373,-305.5542700098239
374,-2667.365551838312
375,236.57381147639296
376,998.7061695811635
377,-1575.2688073327472
378,-371.808936843069
379,-361.880502413787
380,644.3751285031323
381,-502.57956951851463
382,-723.3598763804205
383,1087.140335420587
384,64.87529544173191
385,897.2710087403736
386,1298.9373969087478
387,-321.11938913687004
388,-330.647818621076
389,-14.085335856774364
390,-198.2263297313973
391,-40.618400680832565
392,-320.95607376461135
393,-1425.482346332251
394,1169.3514994055133
395,-2262.68092215041
396,-170.15692177488984
397,1104.914205152497
398,-260.3734560172891
399,-70.72358481984185
400,-851.6554439436602
401,-650.2887497663489
402,-303.6603348982828
403,-891.6249819628388
404,-341.5895676766162
405,-362.5169765621613
406,374.43320862725955
407,-1188.800115982101
408,-408.40874985818346
409,-353.6247962684838
410,-645.4497289183525
